"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","X",1,NA,1,NA,23,NA
"Lesser Whistling-Duck","Dendrocygna javanica","","X","X",237,0.0506329113924051,0.473628691983122,0.607594936708861,13.3122362869198,0.782323809978293
"Bar-headed Goose","Anser indicus","","X","X",110,0.0545454545454545,0.343181818181818,0.454545454545455,13.1727272727273,1.25524441686116
"Graylag Goose","Anser anser","","","X",4,NA,0.25,NA,17.75,8.29147956237808
"Greater White-fronted Goose","Anser albifrons","","","",NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus","","","",NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","","X","X",57,0.0526315789473684,0.25,0.298245614035088,15.4210526315789,1.58442185452982
"Ruddy Shelduck","Tadorna ferruginea","","","X",80,0.025,0.2640625,0.2875,11.75,1.40357960094985
"Common Shelduck","Tadorna tadorna","","","",NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus","","X","X",142,0.0774647887323944,0.441021126760563,0.471830985915493,14.9929577464789,0.948510478583743
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","","X","X",169,0.0887573964497041,0.400887573964497,0.414201183431953,13.7278106508876,0.961847211240479
"Northern Shoveler","Spatula clypeata","","X","X",151,0.0728476821192053,0.373344370860927,0.337748344370861,13.4105960264901,1.0113469733602
"Gadwall","Mareca strepera","","","X",17,0.0588235294117647,0.198529411764706,0.176470588235294,16.1764705882353,2.92668843410285
"Falcated Duck","Mareca falcata","","","",NA,NA,NA,NA,NA,NA
"Eurasian Wigeon","Mareca penelope","","X","X",83,0.0602409638554217,0.27710843373494,0.289156626506024,14.9036144578313,1.32475768621409
"Indian Spot-billed Duck","Anas poecilorhyncha","","X","X",273,0.0659340659340659,0.510531135531135,0.659340659340659,12.014652014652,0.756973402864943
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","","","",NA,NA,NA,NA,NA,NA
"Northern Pintail","Anas acuta","","X","X",139,0.100719424460432,0.371402877697842,0.345323741007194,13.7482014388489,1.07685052689576
"Green-winged Teal","Anas crecca","","X","X",124,0.0725806451612903,0.318548387096774,0.298387096774194,13.9758064516129,1.14630469285956
"Andaman Teal","Anas albogularis","","","",NA,NA,NA,NA,NA,NA
"Marbled Duck","Marmaronetta angustirostris","","","",NA,NA,NA,NA,NA,NA
"Pink-headed Duck","Rhodonessa caryophyllacea","","","",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","","","",NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina","","","X",6,NA,0.291666666666667,0.166666666666667,8,3.54248876733105
"Common Pochard","Aythya ferina","","","X",44,0.136363636363636,0.181818181818182,0.0909090909090909,14.1136363636364,1.88201250643564
"Ferruginous Duck","Aythya nyroca","","","X",2,0.5,0.5,NA,18.5,2.94
"Baer's Pochard","Aythya baeri","","","",NA,NA,NA,NA,NA,NA
"Tufted Duck","Aythya fuligula","","","X",3,0.333333333333333,0.333333333333333,NA,12.3333333333333,6.43458709717346
"Greater Scaup","Aythya marila","","","",NA,NA,NA,NA,NA,NA
"Long-tailed Duck","Clangula hyemalis","","","",NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula","","","",NA,NA,NA,NA,NA,NA
"Smew","Mergellus albellus","","","",NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Merganser","Mergus serrator","","","",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala","","","",NA,NA,NA,NA,NA,NA
"Nicobar Megapode","Megapodius nicobariensis","","","",NA,NA,NA,NA,NA,NA
"Hill Partridge","Arborophila torqueola","","","",NA,NA,NA,NA,NA,NA
"Chestnut-breasted Partridge","Arborophila mandellii","","","",NA,NA,NA,NA,NA,NA
"Rufous-throated Partridge","Arborophila rufogularis","","","",NA,NA,NA,NA,NA,NA
"White-cheeked Partridge","Arborophila atrogularis","","","",NA,NA,NA,NA,NA,NA
"Snow Partridge","Lerwa lerwa","","","",NA,NA,NA,NA,NA,NA
"Blood Pheasant","Ithaginis cruentus","","","",NA,NA,NA,NA,NA,NA
"Western Tragopan","Tragopan melanocephalus","","","",NA,NA,NA,NA,NA,NA
"Satyr Tragopan","Tragopan satyra","","","",NA,NA,NA,NA,NA,NA
"Blyth's Tragopan","Tragopan blythii","","","",NA,NA,NA,NA,NA,NA
"Temminck's Tragopan","Tragopan temminckii","","","",NA,NA,NA,NA,NA,NA
"Himalayan Monal","Lophophorus impejanus","","","",NA,NA,NA,NA,NA,NA
"Sclater's Monal","Lophophorus sclateri","","","",NA,NA,NA,NA,NA,NA
"Koklass Pheasant","Pucrasia macrolopha","","","",NA,NA,NA,NA,NA,NA
"Tibetan Partridge","Perdix hodgsoniae","","","",NA,NA,NA,NA,NA,NA
"Mrs. Hume's Pheasant","Syrmaticus humiae","","","",NA,NA,NA,NA,NA,NA
"Cheer Pheasant","Catreus wallichii","","","",NA,NA,NA,NA,NA,NA
"Kalij Pheasant","Lophura leucomelanos","","","",NA,NA,NA,NA,NA,NA
"Indian Peafowl","Pavo cristatus","X","X","X",304,0.0460526315789474,0.587993421052632,0.789473684210526,11.8223684210526,0.72979410312482
"Green Peafowl","Pavo muticus","","","",NA,NA,NA,NA,NA,NA
"Red Spurfowl","Galloperdix spadicea","","X","X",101,0.0693069306930693,0.450495049504951,0.574257425742574,16.7623762376238,1.02315877949133
"Painted Spurfowl","Galloperdix lunulata","","","X",48,0.0625,0.348958333333333,0.604166666666667,14.25,1.96650516225905
"Gray Peacock-Pheasant","Polyplectron bicalcaratum","","","",NA,NA,NA,NA,NA,NA
"Mountain Bamboo-Partridge","Bambusicola fytchii","","","",NA,NA,NA,NA,NA,NA
"Red Junglefowl","Gallus gallus","","","",NA,NA,NA,NA,NA,NA
"Gray Junglefowl","Gallus sonneratii","X","X","X",138,0.144927536231884,0.622282608695652,0.753623188405797,15.7463768115942,0.970585341993289
"Gray Francolin","Ortygornis pondicerianus","","X","X",271,0.0774907749077491,0.488007380073801,0.623616236162362,11.1328413284133,0.777815202898859
"Swamp Francolin","Ortygornis gularis","","","",NA,NA,NA,NA,NA,NA
"Chinese Francolin","Francolinus pintadeanus","","","",NA,NA,NA,NA,NA,NA
"Black Francolin","Francolinus francolinus","","","",NA,NA,NA,NA,NA,NA
"Painted Francolin","Francolinus pictus","","","X",30,NA,0.283333333333333,0.366666666666667,10.2333333333333,1.78721043363663
"Tibetan Snowcock","Tetraogallus tibetanus","","","",NA,NA,NA,NA,NA,NA
"Himalayan Snowcock","Tetraogallus himalayensis","","","",NA,NA,NA,NA,NA,NA
"Blue-breasted Quail","Synoicus chinensis","","","",NA,NA,NA,NA,NA,NA
"Common Quail","Coturnix coturnix","","","",1,NA,NA,NA,25,NA
"Japanese Quail","Coturnix japonica","","","",NA,NA,NA,NA,NA,NA
"Rain Quail","Coturnix coromandelica","","","X",39,0.0512820512820513,0.291666666666667,0.41025641025641,15.2307692307692,2.24995865793593
"Chukar","Alectoris chukar","","","",NA,NA,NA,NA,NA,NA
"Jungle Bush-Quail","Perdicula asiatica","","","X",102,0.0588235294117647,0.426470588235294,0.598039215686274,14.921568627451,1.23578240096186
"Rock Bush-Quail","Perdicula argoondah","","","X",39,NA,0.233974358974359,0.538461538461538,10.7435897435897,1.68356013428955
"Painted Bush-Quail","Perdicula erythrorhyncha","","","X",22,0.136363636363636,0.207792207792208,0.227272727272727,18.5,2.29875592177134
"Manipur Bush-Quail","Perdicula manipurensis","","","",NA,NA,NA,NA,NA,NA
"Himalayan Quail","Ophrysia superciliosa","","","",NA,NA,NA,NA,NA,NA
