"eBird.English.Name.2025","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Abbott's Babbler","Insufficient Data","Trend Inconclusive",NA,"Low"
"Aberrant Bush Warbler","Insufficient Data","Trend Inconclusive",NA,"Low"
"Alexandrine Parakeet","Trend Inconclusive","Trend Inconclusive",NA,"Moderate"
"Alpine Accentor",NA,NA,NA,NA
"Alpine Swift","Decline","Stable",NA,"Low"
"Alpine Thrush",NA,NA,NA,NA
"Altai Accentor",NA,NA,NA,NA
"American Golden-Plover",NA,NA,NA,NA
"Amur Falcon",NA,NA,NA,NA
"Amur Paradise-Flycatcher",NA,NA,NA,NA
"Amur Stonechat",NA,NA,NA,NA
"Andaman Boobook",NA,NA,NA,NA
"Andaman Bulbul","Insufficient Data","Trend Inconclusive",NA,"Moderate"
"Andaman Coucal",NA,NA,NA,NA
"Andaman Crake","Insufficient Data","Insufficient Data",NA,"Moderate"
"Andaman Cuckoo-Dove","Insufficient Data","Insufficient Data",NA,"Moderate"
"Andaman Cuckooshrike","Insufficient Data","Insufficient Data",NA,"Moderate"
"Andaman Drongo","Insufficient Data","Rapid Decline",NA,"High"
"Andaman Flowerpecker","Trend Inconclusive","Trend Inconclusive",NA,"Moderate"
"Andaman Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Andaman Masked-Owl",NA,NA,NA,NA
"Andaman Nightjar",NA,NA,NA,NA
"Andaman Scops-Owl",NA,NA,NA,NA
"Andaman Serpent-Eagle","Insufficient Data","Rapid Decline",NA,"High"
"Andaman Shama","Insufficient Data","Trend Inconclusive",NA,"Moderate"
"Andaman Teal",NA,NA,NA,NA
"Andaman Treepie","Insufficient Data","Trend Inconclusive",NA,"High"
"Andaman Wood-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Andaman Woodpecker","Insufficient Data","Trend Inconclusive",NA,"High"
"Arctic Loon",NA,NA,NA,NA
"Arctic Tern",NA,NA,NA,NA
"Arctic Warbler",NA,NA,NA,NA
"Ashambu Laughingthrush","Insufficient Data","Insufficient Data",NA,"High"
"Ashy Bulbul","Trend Inconclusive","Stable",NA,"Low"
"Ashy Drongo","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Ashy Minivet",NA,NA,NA,NA
"Ashy Prinia",NA,NA,NA,NA
"Ashy Wood-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Ashy Woodswallow",NA,NA,NA,NA
"Ashy-crowned Sparrow-Lark",NA,NA,NA,NA
"Ashy-headed Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Ashy-throated Warbler","Decline","Trend Inconclusive",NA,"Moderate"
"Asian Barred Owlet",NA,NA,NA,NA
"Asian Brown Flycatcher","Trend Inconclusive","Stable",NA,"Low"
"Asian Desert Warbler",NA,NA,NA,NA
"Asian Dowitcher",NA,NA,NA,NA
"Asian Emerald Cuckoo","Insufficient Data","Insufficient Data",NA,"Moderate"
"Asian Emerald Dove","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Asian Fairy-bluebird","Decline","Stable",NA,"Moderate"
"Asian Glossy Starling",NA,NA,NA,NA
"Asian Green Bee-eater",NA,NA,NA,NA
"Asian Houbara",NA,NA,NA,NA
"Asian House-Martin",NA,NA,NA,NA
"Asian Koel",NA,NA,NA,NA
"Asian Openbill",NA,NA,NA,NA
"Asian Palm Swift",NA,NA,NA,NA
"Asian Stubtail",NA,NA,NA,NA
"Asian Tit",NA,NA,NA,NA
"Asian Woolly-necked Stork",NA,NA,NA,NA
"Assam Laughingthrush","Insufficient Data","Insufficient Data",NA,"Moderate"
"Australasian Grass-Owl",NA,NA,NA,NA
"Azure Tit",NA,NA,NA,NA
"Baer's Pochard",NA,NA,NA,NA
"Baikal Bush Warbler",NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA
"Baillon's Crake",NA,NA,NA,NA
"Banasura Laughingthrush","Insufficient Data","Insufficient Data",NA,"High"
"Banded Bay Cuckoo","Decline","Trend Inconclusive",NA,"Moderate"
"Bank Myna",NA,NA,NA,NA
"Bank Swallow",NA,NA,NA,NA
"Bar-headed Goose",NA,NA,NA,NA
"Bar-tailed Godwit",NA,NA,NA,NA
"Bar-tailed Treecreeper","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Bar-winged Flycatcher-shrike","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Bar-winged Wren-Babbler","Insufficient Data","Insufficient Data",NA,"High"
"Barau's Petrel",NA,NA,NA,NA
"Barn Swallow",NA,NA,NA,NA
"Barred Buttonquail",NA,NA,NA,NA
"Barred Cuckoo-Dove","Insufficient Data","Stable",NA,"Low"
"Barred Warbler",NA,NA,NA,NA
"Bay Woodpecker","Insufficient Data","Insufficient Data",NA,"Low"
"Bay-backed Shrike",NA,NA,NA,NA
"Baya Weaver",NA,NA,NA,NA
"Beach Thick-knee",NA,NA,NA,NA
"Bearded Vulture",NA,NA,NA,NA
"Beautiful Nuthatch","Insufficient Data","Insufficient Data",NA,"High"
"Beautiful Sibia","Insufficient Data","Insufficient Data",NA,"Moderate"
"Bengal Bushlark",NA,NA,NA,NA
"Bengal Florican",NA,NA,NA,NA
"Besra","Insufficient Data","Insufficient Data",NA,"Low"
"Bhutan Laughingthrush",NA,NA,NA,NA
"Bimaculated Lark",NA,NA,NA,NA
"Black Baza","Insufficient Data","Trend Inconclusive",NA,"Moderate"
"Black Bittern",NA,NA,NA,NA
"Black Bulbul","Increase","Stable",NA,"Low"
"Black Drongo",NA,NA,NA,NA
"Black Eagle","Trend Inconclusive","Stable",NA,"Low"
"Black Francolin",NA,NA,NA,NA
"Black Kite",NA,NA,NA,NA
"Black Noddy",NA,NA,NA,NA
"Black Redstart",NA,NA,NA,NA
"Black Stork",NA,NA,NA,NA
"Black Tern",NA,NA,NA,NA
"Black-and-orange Flycatcher","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-and-yellow Grosbeak","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black-backed Dwarf-Kingfisher","Insufficient Data","Trend Inconclusive",NA,"Moderate"
"Black-backed Forktail","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Black-bellied Plover",NA,NA,NA,NA
"Black-bellied Sandgrouse",NA,NA,NA,NA
"Black-bellied Storm-Petrel",NA,NA,NA,NA
"Black-bellied Tern",NA,NA,NA,NA
"Black-breasted Parrotbill",NA,NA,NA,NA
"Black-breasted Thrush","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-breasted Weaver",NA,NA,NA,NA
"Black-browed Reed Warbler",NA,NA,NA,NA
"Black-browed Tit",NA,NA,NA,NA
"Black-capped Kingfisher",NA,NA,NA,NA
"Black-chinned Babbler",NA,NA,NA,NA
"Black-chinned Yuhina","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black-crested Bulbul","Stable","Stable",NA,"Low"
"Black-crowned Night Heron",NA,NA,NA,NA
"Black-crowned Scimitar-Babbler","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-crowned Sparrow-Lark",NA,NA,NA,NA
"Black-eared Shrike-Babbler","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black-faced Bunting",NA,NA,NA,NA
"Black-faced Laughingthrush","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-faced Warbler","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black-headed Bulbul",NA,NA,NA,NA
"Black-headed Bunting",NA,NA,NA,NA
"Black-headed Cuckooshrike","Decline","Trend Inconclusive",NA,"Moderate"
"Black-headed Greenfinch",NA,NA,NA,NA
"Black-headed Gull",NA,NA,NA,NA
"Black-headed Ibis",NA,NA,NA,NA
"Black-headed Jay","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black-headed Mountain Finch",NA,NA,NA,NA
