COMMON.NAME,mean,timegroups
Black-headed Ibis,1,2001
Black-headed Ibis,15,2002
Black-headed Ibis,5,2003
Black-headed Ibis,6,2004
Black-headed Ibis,33,2005
Black-headed Ibis,3,2006
Black-headed Ibis,14,2007
Black-headed Ibis,54,2008
Black-headed Ibis,8,2009
Black-headed Ibis,0,2010
Black-headed Ibis,3,2011
Black-headed Ibis,23,2012
Black-headed Ibis,102,2013
Black-headed Ibis,549,2014
Black-headed Ibis,42,2015
Black-headed Ibis,246,2016
Black-headed Ibis,765,2017
Black-headed Ibis,765,2018
Black-headed Ibis,126,2019
Black-headed Ibis,114,2020
Black-headed Ibis,210,2021
Black-headed Ibis,453,2022
Black-headed Ibis,200,2023
Glossy Ibis,0,2001
Glossy Ibis,2,2002
Glossy Ibis,6,2003
Glossy Ibis,0,2004
Glossy Ibis,0,2005
Glossy Ibis,0,2006
Glossy Ibis,0,2007
Glossy Ibis,0,2008
Glossy Ibis,0,2009
Glossy Ibis,1,2010
Glossy Ibis,0,2011
Glossy Ibis,156,2012
Glossy Ibis,949,2013
Glossy Ibis,167,2014
Glossy Ibis,419,2015
Glossy Ibis,2,2016
Glossy Ibis,524,2017
Glossy Ibis,524,2018
Glossy Ibis,1,2019
Glossy Ibis,2,2020
Glossy Ibis,38,2021
Glossy Ibis,1120,2022
Glossy Ibis,1846,2023
Gray-headed Swamphen,4,2001
Gray-headed Swamphen,20,2002
Gray-headed Swamphen,41,2003
Gray-headed Swamphen,155,2004
Gray-headed Swamphen,110,2005
Gray-headed Swamphen,20,2006
Gray-headed Swamphen,4,2007
Gray-headed Swamphen,285,2008
Gray-headed Swamphen,549,2009
Gray-headed Swamphen,0,2010
Gray-headed Swamphen,0,2011
Gray-headed Swamphen,18,2012
Gray-headed Swamphen,697,2013
Gray-headed Swamphen,288,2014
Gray-headed Swamphen,524,2015
Gray-headed Swamphen,223,2016
Gray-headed Swamphen,514,2017
Gray-headed Swamphen,522,2018
Gray-headed Swamphen,1592,2019
Gray-headed Swamphen,377,2020
Gray-headed Swamphen,208,2021
Gray-headed Swamphen,125,2022
Gray-headed Swamphen,80,2023
Oriental Darter,121,2001
Oriental Darter,30,2002
Oriental Darter,56,2003
Oriental Darter,66,2004
Oriental Darter,75,2005
Oriental Darter,144,2006
Oriental Darter,169,2007
Oriental Darter,116,2008
Oriental Darter,73,2009
Oriental Darter,7,2010
Oriental Darter,9,2011
Oriental Darter,11,2012
Oriental Darter,67,2013
Oriental Darter,80,2014
Oriental Darter,29,2015
Oriental Darter,48,2016
Oriental Darter,74,2017
Oriental Darter,77,2018
Oriental Darter,178,2019
Oriental Darter,54,2020
Oriental Darter,37,2021
Oriental Darter,34,2022
Oriental Darter,34,2023
Whiskered Tern,1913,2001
Whiskered Tern,4540,2002
Whiskered Tern,1006,2003
Whiskered Tern,370,2004
Whiskered Tern,4573,2005
Whiskered Tern,974,2006
Whiskered Tern,7062,2007
Whiskered Tern,482,2008
Whiskered Tern,688,2009
Whiskered Tern,70,2010
Whiskered Tern,44,2011
Whiskered Tern,104,2012
Whiskered Tern,1505,2013
Whiskered Tern,959,2014
Whiskered Tern,657,2015
Whiskered Tern,632,2016
Whiskered Tern,957,2017
Whiskered Tern,1017,2018
Whiskered Tern,1778,2019
Whiskered Tern,1077,2020
Whiskered Tern,447,2021
Whiskered Tern,955,2022
Whiskered Tern,1799,2023
