"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km"
"Montagu's Harrier","Circus pygargus","","","X",6,NA,0.479166666666667,0.333333333333333,16.6666666666667,5.69562795289315
"Crested Goshawk","Lophospiza trivirgata","","","X",10,0.2,0.5125,0.7,15.9,4.89302614839619
"Shikra","Tachyspiza badia","","","X",13,0.615384615384615,0.807692307692308,0.923076923076923,13.0769230769231,4.73625006669623
"Nicobar Sparrowhawk","Tachyspiza butleri","","","",NA,NA,NA,NA,NA,NA
"Chinese Sparrowhawk","Tachyspiza soloensis","","","",NA,NA,NA,NA,NA,NA
"Japanese Sparrowhawk","Tachyspiza gularis","","","",NA,NA,NA,NA,NA,NA
"Besra","Tachyspiza virgata","","","X",7,0.285714285714286,0.357142857142857,0.714285714285714,18.4285714285714,5.35671541151852
"Eurasian Sparrowhawk","Accipiter nisus","","","X",9,0.222222222222222,0.222222222222222,0.111111111111111,17.2222222222222,4.64025116391317
"Eurasian Goshawk","Astur gentilis","","","",NA,NA,NA,NA,NA,NA
"Red Kite","Milvus milvus","","","",NA,NA,NA,NA,NA,NA
"Black Kite","Milvus migrans","X","X","X",12,0.666666666666667,0.916666666666667,1,14,4.75837762013037
"Brahminy Kite","Haliastur indus","X","X","X",14,0.571428571428571,0.839285714285714,0.857142857142857,12.2857142857143,4.65106108654458
"White-tailed Eagle","Haliaeetus albicilla","","","",NA,NA,NA,NA,NA,NA
"Pallas's Fish-Eagle","Haliaeetus leucoryphus","","","",NA,NA,NA,NA,NA,NA
"White-bellied Sea-Eagle","Icthyophaga leucogaster","","","X",12,0.583333333333333,0.791666666666667,0.833333333333333,14,4.75837762013037
"Lesser Fish-Eagle","Icthyophaga humilis","","","X",1,NA,1,NA,25,NA
"Gray-headed Fish-Eagle","Icthyophaga ichthyaetus","","","X",1,NA,1,NA,25,NA
"Rough-legged Hawk","Buteo lagopus","","","",NA,NA,NA,NA,NA,NA
"Common Buzzard","Buteo buteo","","","X",9,0.222222222222222,0.208333333333333,0.222222222222222,16.1111111111111,5.35219627239805
"Himalayan Buzzard","Buteo refectus","","","",NA,NA,NA,NA,NA,NA
"Long-legged Buzzard","Buteo rufinus","","","X",1,1,NA,NA,24,NA
"Upland Buzzard","Buteo hemilasius","","","",NA,NA,NA,NA,NA,NA
"Australasian Grass-Owl","Tyto longimembris","","","",NA,NA,NA,NA,NA,NA
"Eastern Barn Owl","Tyto javanica","","","",10,NA,0.3875,0.4,15.1,5.14808426072802
"Andaman Masked-Owl","Tyto deroepstorffi","","","",NA,NA,NA,NA,NA,NA
"Oriental Bay-Owl","Phodilus badius","","","",NA,NA,NA,NA,NA,NA
"Sri Lanka Bay-Owl","Phodilus assimilis","","","",1,NA,1,NA,15,NA
"Andaman Scops-Owl","Otus balli","","","",NA,NA,NA,NA,NA,NA
"Mountain Scops-Owl","Otus spilocephalus","","","",NA,NA,NA,NA,NA,NA
"Indian Scops-Owl","Otus bakkamoena","","","",9,0.111111111111111,0.430555555555556,0.444444444444444,17.4444444444444,4.29800872641572
"Collared Scops-Owl","Otus lettia","","","",NA,NA,NA,NA,NA,NA
"Nicobar Scops-Owl","Otus alius","","","",NA,NA,NA,NA,NA,NA
"Eurasian Scops-Owl","Otus scops","","","",NA,NA,NA,NA,NA,NA
"Pallid Scops-Owl","Otus brucei","","","",NA,NA,NA,NA,NA,NA
"Oriental Scops-Owl","Otus sunia","","","",9,0.222222222222222,0.305555555555556,0.222222222222222,15.5555555555556,4.8903114092062
"Eurasian Eagle-Owl","Bubo bubo","","","",NA,NA,NA,NA,NA,NA
"Rock Eagle-Owl","Bubo bengalensis","","","",1,NA,1,NA,24,NA
"Spot-bellied Eagle-Owl","Ketupa nipalensis","","","",3,0.333333333333333,0.333333333333333,NA,19.3333333333333,5.80695368597952
"Dusky Eagle-Owl","Ketupa coromanda","","","",NA,NA,NA,NA,NA,NA
"Brown Fish-Owl","Ketupa zeylonensis","","","X",10,0.3,0.4875,0.5,15.9,4.89302614839619
"Tawny Fish-Owl","Ketupa flavipes","","","",NA,NA,NA,NA,NA,NA
"Buffy Fish-Owl","Ketupa ketupu","","","",NA,NA,NA,NA,NA,NA
"Asian Barred Owlet","Glaucidium cuculoides","","","",NA,NA,NA,NA,NA,NA
"Jungle Owlet","Glaucidium radiatum","X","X","X",11,0.363636363636364,0.738636363636364,0.727272727272727,15.0909090909091,4.65665151216892
"Collared Owlet","Taenioptynx brodiei","","","",NA,NA,NA,NA,NA,NA
"Spotted Owlet","Athene brama","","","",8,0.625,0.671875,0.625,17.5,4.68529614859082
"Little Owl","Athene noctua","","","",NA,NA,NA,NA,NA,NA
"Forest Owlet","Athene blewitti","","","",NA,NA,NA,NA,NA,NA
"Mottled Wood-Owl","Strix ocellata","","","",NA,NA,NA,NA,NA,NA
"Brown Wood-Owl","Strix leptogrammica","","","",10,0.2,0.525,0.8,15.9,4.89302614839619
"Tawny Owl","Strix aluco","","","",NA,NA,NA,NA,NA,NA
"Himalayan Owl","Strix nivicolum","","","",NA,NA,NA,NA,NA,NA
"Long-eared Owl","Asio otus","","","",NA,NA,NA,NA,NA,NA
"Short-eared Owl","Asio flammeus","","","X",3,NA,0.333333333333333,0.333333333333333,19.3333333333333,6.43458709717346
"Boreal Owl","Aegolius funereus","","","",NA,NA,NA,NA,NA,NA
"Andaman Boobook","Ninox affinis","","","",NA,NA,NA,NA,NA,NA
"Brown Boobook","Ninox scutulata","","","",10,0.3,0.475,0.7,16.2,4.55275369663484
"Hume's Boobook","Ninox obscura","","","",NA,NA,NA,NA,NA,NA
"Malabar Trogon","Harpactes fasciatus","X","X","X",10,0.2,0.65,0.8,14.8,5.59582955820175
"Red-headed Trogon","Harpactes erythrocephalus","","","",NA,NA,NA,NA,NA,NA
"Ward's Trogon","Harpactes wardi","","","",NA,NA,NA,NA,NA,NA
"Eurasian Hoopoe","Upupa epops","","","X",11,0.454545454545455,0.772727272727273,0.909090909090909,15.0909090909091,4.65665151216892
"Great Hornbill","Buceros bicornis","X","X","X",11,0.181818181818182,0.590909090909091,0.727272727272727,14.6363636363636,5.0717694762119
"Brown Hornbill","Anorrhinus austeni","","","",NA,NA,NA,NA,NA,NA
"Indian Gray Hornbill","Ocyceros birostris","","X","X",11,0.0909090909090909,0.693181818181818,0.818181818181818,14.9090909090909,4.83329472008894
"Malabar Gray Hornbill","Ocyceros griseus","X","X","X",13,0.307692307692308,0.769230769230769,0.923076923076923,13.0769230769231,4.73625006669623
"Malabar Pied-Hornbill","Anthracoceros coronatus","X","X","X",14,0.285714285714286,0.669642857142857,0.714285714285714,12.2857142857143,4.65106108654458
"Oriental Pied-Hornbill","Anthracoceros albirostris","","","",NA,NA,NA,NA,NA,NA
"Rufous-necked Hornbill","Aceros nipalensis","","","",NA,NA,NA,NA,NA,NA
"Wreathed Hornbill","Rhyticeros undulatus","","","",NA,NA,NA,NA,NA,NA
"Narcondam Hornbill","Rhyticeros narcondami","","","",NA,NA,NA,NA,NA,NA
"Blyth's Kingfisher","Alcedo hercules","","","",NA,NA,NA,NA,NA,NA
"Common Kingfisher","Alcedo atthis","","","X",14,0.571428571428571,0.785714285714286,0.857142857142857,12.2857142857143,4.65106108654458
"Blue-eared Kingfisher","Alcedo meninting","","","X",9,0.222222222222222,0.486111111111111,0.555555555555556,16.2222222222222,5.20393203664069
"Black-backed Dwarf-Kingfisher","Ceyx erithaca","","","X",10,0.1,0.425,0.6,15.9,4.89302614839619
"Rufous-backed Dwarf-Kingfisher","Ceyx rufidorsa","","","",NA,NA,NA,NA,NA,NA
"Brown-winged Kingfisher","Pelargopsis amauroptera","","","",NA,NA,NA,NA,NA,NA
"Stork-billed Kingfisher","Pelargopsis capensis","","","X",11,0.636363636363636,0.840909090909091,0.909090909090909,15.0909090909091,4.65665151216892
"Ruddy Kingfisher","Halcyon coromanda","","","",NA,NA,NA,NA,NA,NA
"White-throated Kingfisher","Halcyon smyrnensis","","","X",14,0.571428571428571,0.8125,0.928571428571429,12.2857142857143,4.65106108654458
"Black-capped Kingfisher","Halcyon pileata","","","X",10,0.6,0.3125,0.5,15.1,5.14808426072802
"Collared Kingfisher","Todiramphus chloris","","","X",5,NA,0.5,0.6,15.6,6.48875458004076
"Crested Kingfisher","Megaceryle lugubris","","","",NA,NA,NA,NA,NA,NA
"Pied Kingfisher","Ceryle rudis","","","X",11,0.545454545454545,0.647727272727273,0.636363636363636,13.9090909090909,5.20888573290991
"Blue-bearded Bee-eater","Nyctyornis athertoni","","","X",12,0.25,0.4375,0.583333333333333,13.75,4.94508050613144
"Asian Green Bee-eater","Merops orientalis","","","X",14,0.571428571428571,0.875,0.928571428571429,12.2857142857143,4.65106108654458
"Blue-throated Bee-eater","Merops viridis","","","",NA,NA,NA,NA,NA,NA
"Blue-cheeked Bee-eater","Merops persicus","","","",NA,NA,NA,NA,NA,NA
"Blue-tailed Bee-eater","Merops philippinus","","","X",14,0.571428571428571,0.732142857142857,0.928571428571429,12.2857142857143,4.65106108654458
"European Bee-eater","Merops apiaster","","","",NA,NA,NA,NA,NA,NA
"Chestnut-headed Bee-eater","Merops leschenaulti","","","X",14,0.357142857142857,0.705357142857143,0.785714285714286,12.2857142857143,4.65106108654458
"European Roller","Coracias garrulus","","","X",9,0.444444444444444,0.347222222222222,0.222222222222222,16.3333333333333,5.08174073412732
"Indian Roller","Coracias benghalensis","","","X",12,0.666666666666667,0.75,0.916666666666667,14,4.75837762013037
"Indochinese Roller","Coracias affinis","","","",NA,NA,NA,NA,NA,NA
"Dollarbird","Eurystomus orientalis","","","",NA,NA,NA,NA,NA,NA
"Malabar Barbet","Psilopogon malabaricus","X","X","X",10,0.3,0.6125,0.7,14.8,5.59582955820175
"Coppersmith Barbet","Psilopogon haemacephalus","","","X",12,0.583333333333333,0.927083333333333,0.916666666666667,14,4.75837762013037
"Blue-eared Barbet","Psilopogon cyanotis","","","",NA,NA,NA,NA,NA,NA
"Great Barbet","Psilopogon virens","","","",NA,NA,NA,NA,NA,NA
"Lineated Barbet","Psilopogon lineatus","","","",NA,NA,NA,NA,NA,NA
"Brown-headed Barbet","Psilopogon zeylanicus","X","X","X",13,0.538461538461538,0.769230769230769,0.846153846153846,13.0769230769231,4.73625006669623
"White-cheeked Barbet","Psilopogon viridis","X","X","X",14,0.571428571428571,0.848214285714286,0.857142857142857,12.2857142857143,4.65106108654458
"Golden-throated Barbet","Psilopogon franklinii","","","",NA,NA,NA,NA,NA,NA
"Blue-throated Barbet","Psilopogon asiaticus","","","",NA,NA,NA,NA,NA,NA
"Yellow-rumped Honeyguide","Indicator xanthonotus","","","",NA,NA,NA,NA,NA,NA
"Eurasian Wryneck","Jynx torquilla","","","X",6,0.166666666666667,0.333333333333333,0.333333333333333,17.1666666666667,6.12358428083132
"Speckled Piculet","Picumnus innominatus","","","X",8,0.25,0.5,0.5,14,6.87997093017114
"White-browed Piculet","Sasia ochracea","","","",NA,NA,NA,NA,NA,NA
"Heart-spotted Woodpecker","Hemicircus canente","X","X","X",10,0.4,0.65,0.7,14.8,5.59582955820175
"Brown-capped Pygmy Woodpecker","Yungipicus nanus","X","X","X",10,0.6,0.75,0.7,16.2,4.55275369663484
"Gray-capped Pygmy Woodpecker","Yungipicus canicapillus","","","",NA,NA,NA,NA,NA,NA
"Yellow-crowned Woodpecker","Leiopicus mahrattensis","X","X","X",7,0.285714285714286,0.464285714285714,0.428571428571429,16.8571428571429,5.2108092781576
"Brown-fronted Woodpecker","Dendrocoptes auriceps","","","",NA,NA,NA,NA,NA,NA
"Rufous-bellied Woodpecker","Dendrocopos hyperythrus","","","",NA,NA,NA,NA,NA,NA
"Fulvous-breasted Woodpecker","Dendrocopos macei","","","",NA,NA,NA,NA,NA,NA
"Freckle-breasted Woodpecker","Dendrocopos analis","","","",NA,NA,NA,NA,NA,NA
"Stripe-breasted Woodpecker","Dendrocopos atratus","","","",NA,NA,NA,NA,NA,NA
"Darjeeling Woodpecker","Dendrocopos darjellensis","","","",NA,NA,NA,NA,NA,NA
"Great Spotted Woodpecker","Dendrocopos major","","","",NA,NA,NA,NA,NA,NA
"Himalayan Woodpecker","Dendrocopos himalayensis","","","",NA,NA,NA,NA,NA,NA
"Sind Woodpecker","Dendrocopos assimilis","","","",NA,NA,NA,NA,NA,NA
"Crimson-naped Woodpecker","Dryobates cathpharius","","","",NA,NA,NA,NA,NA,NA
"Bay Woodpecker","Blythipicus pyrrhotis","","","",NA,NA,NA,NA,NA,NA
"Greater Flameback","Chrysocolaptes guttacristatus","X","X","X",11,0.272727272727273,0.670454545454545,0.818181818181818,14.6363636363636,5.0717694762119
"White-naped Woodpecker","Chrysocolaptes festivus","","X","X",7,0.142857142857143,0.482142857142857,0.714285714285714,17.7142857142857,5.57192964779707
"Rufous Woodpecker","Micropternus brachyurus","X","X","X",12,0.5,0.791666666666667,0.833333333333333,14,4.75837762013037
"Pale-headed Woodpecker","Gecinulus grantia","","","",NA,NA,NA,NA,NA,NA
"Himalayan Flameback","Dinopium shorii","","","",NA,NA,NA,NA,NA,NA
"Common Flameback","Dinopium javanense","","","X",5,0.6,0.4,0.6,16.8,7.10483103247361
"Black-rumped Flameback","Dinopium benghalense","X","X","X",13,0.538461538461538,0.865384615384615,0.923076923076923,13.0769230769231,4.73625006669623
"Lesser Yellownape","Picus chlorolophus","","","X",7,0.142857142857143,0.517857142857143,0.571428571428571,12.5714285714286,7.25662915317206
"Streak-throated Woodpecker","Picus xanthopygaeus","","","",NA,NA,NA,NA,NA,NA
"Scaly-bellied Woodpecker","Picus squamatus","","","",NA,NA,NA,NA,NA,NA
"Gray-headed Woodpecker","Picus canus","","","",NA,NA,NA,NA,NA,NA
"Greater Yellownape","Chrysophlegma flavinucha","","","",NA,NA,NA,NA,NA,NA
"Great Slaty Woodpecker","Mulleripicus pulverulentus","","","",NA,NA,NA,NA,NA,NA
"White-bellied Woodpecker","Dryocopus javensis","","","X",5,0.6,0.775,1,16.8,7.10483103247361
"Andaman Woodpecker","Dryocopus hodgei","","","",NA,NA,NA,NA,NA,NA
"Collared Falconet","Microhierax caerulescens","","","",NA,NA,NA,NA,NA,NA
"Pied Falconet","Microhierax melanoleucos","","","",NA,NA,NA,NA,NA,NA
"Lesser Kestrel","Falco naumanni","","","",NA,NA,NA,NA,NA,NA
"Eurasian Kestrel","Falco tinnunculus","","","X",11,0.636363636363636,0.579545454545455,0.727272727272727,15.0909090909091,4.65665151216892
"Red-necked Falcon","Falco chicquera","","","X",2,NA,0.5,NA,22.5,2.94
"Red-footed Falcon","Falco vespertinus","","","",NA,NA,NA,NA,NA,NA
"Amur Falcon","Falco amurensis","","","X",10,0.2,0.4625,0.4,16.2,4.55275369663484
"Merlin","Falco columbarius","","","",NA,NA,NA,NA,NA,NA
"Eurasian Hobby","Falco subbuteo","","","X",6,0.166666666666667,0.361111111111111,0.166666666666667,17.6666666666667,6.06580506702211
"Oriental Hobby","Falco severus","","","",NA,NA,NA,NA,NA,NA
"Laggar Falcon","Falco jugger","","","",NA,NA,NA,NA,NA,NA
"Saker Falcon","Falco cherrug","","","",NA,NA,NA,NA,NA,NA
"Peregrine Falcon","Falco peregrinus","","","X",9,0.333333333333333,0.527777777777778,0.777777777777778,16.3333333333333,5.08174073412732
"Alexandrine Parakeet","Psittacula eupatria","","","X",9,0.111111111111111,0.611111111111111,0.666666666666667,17.5555555555556,4.13347729737339
"Rose-ringed Parakeet","Psittacula krameri","","","X",12,0.583333333333333,0.864583333333333,1,14,4.75837762013037
"Slaty-headed Parakeet","Psittacula himalayana","","","",NA,NA,NA,NA,NA,NA
"Gray-headed Parakeet","Psittacula finschii","","","",NA,NA,NA,NA,NA,NA
"Plum-headed Parakeet","Psittacula cyanocephala","X","X","X",14,0.571428571428571,0.767857142857143,0.857142857142857,12.2857142857143,4.65106108654458
"Blossom-headed Parakeet","Psittacula roseata","","","",NA,NA,NA,NA,NA,NA
"Malabar Parakeet","Psittacula columboides","X","X","X",10,0.3,0.55,0.5,14.8,5.59582955820175
"Derbyan Parakeet","Psittacula derbiana","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Parakeet","Psittacula alexandri","","","",NA,NA,NA,NA,NA,NA
"Nicobar Parakeet","Psittacula caniceps","","","",NA,NA,NA,NA,NA,NA
"Long-tailed Parakeet","Psittacula longicauda","","","",NA,NA,NA,NA,NA,NA
"Vernal Hanging-Parrot","Loriculus vernalis","","","X",14,0.285714285714286,0.767857142857143,0.785714285714286,12.2857142857143,4.65106108654458
"Long-tailed Broadbill","Psarisomus dalhousiae","","","",NA,NA,NA,NA,NA,NA
"Gray-lored Broadbill","Serilophus rubropygius","","","",NA,NA,NA,NA,NA,NA
"Blue-naped Pitta","Hydrornis nipalensis","","","",NA,NA,NA,NA,NA,NA
"Blue Pitta","Hydrornis cyaneus","","","",NA,NA,NA,NA,NA,NA
"Indian Pitta","Pitta brachyura","","","X",13,0.307692307692308,0.673076923076923,0.769230769230769,12.9230769230769,4.8391208225571
"Blue-winged Pitta","Pitta moluccensis","","","",NA,NA,NA,NA,NA,NA
"Western Hooded Pitta","Pitta sordida","","","",NA,NA,NA,NA,NA,NA
"Mangrove Pitta","Pitta megarhyncha","","","",NA,NA,NA,NA,NA,NA
"White-bellied Minivet","Pericrocotus erythropygius","","","",NA,NA,NA,NA,NA,NA
"Small Minivet","Pericrocotus cinnamomeus","X","X","X",12,0.666666666666667,0.833333333333333,0.833333333333333,14,4.75837762013037
"Gray-chinned Minivet","Pericrocotus solaris","","","",NA,NA,NA,NA,NA,NA
"Short-billed Minivet","Pericrocotus brevirostris","","","",NA,NA,NA,NA,NA,NA
"Long-tailed Minivet","Pericrocotus ethologus","","","",NA,NA,NA,NA,NA,NA
"Orange Minivet","Pericrocotus flammeus","X","X","X",14,0.428571428571429,0.6875,0.714285714285714,12.2857142857143,4.65106108654458
"Scarlet Minivet","Pericrocotus speciosus","","","",NA,NA,NA,NA,NA,NA
"Ashy Minivet","Pericrocotus divaricatus","","","",NA,NA,NA,NA,NA,NA
"Brown-rumped Minivet","Pericrocotus cantonensis","","","",NA,NA,NA,NA,NA,NA
"Rosy Minivet","Pericrocotus roseus","","","",NA,NA,NA,NA,NA,NA
"Indian Cuckooshrike","Coracina macei","","","X",11,0.363636363636364,0.534090909090909,0.727272727272727,15.0909090909091,4.65665151216892
"Andaman Cuckooshrike","Coracina dobsoni","","","",NA,NA,NA,NA,NA,NA
"Pied Triller","Lalage nigra","","","",NA,NA,NA,NA,NA,NA
"Black-winged Cuckooshrike","Lalage melaschistos","","","X",NA,NA,NA,NA,NA,NA
"Black-headed Cuckooshrike","Lalage melanoptera","","","X",13,0.538461538461538,0.673076923076923,0.846153846153846,13.0769230769231,4.73625006669623
"Black-headed Shrike-Babbler","Pteruthius rufiventer","","","",NA,NA,NA,NA,NA,NA
"White-browed Shrike-Babbler","Pteruthius aeralatus","","","",NA,NA,NA,NA,NA,NA
"Green Shrike-Babbler","Pteruthius xanthochlorus","","","",NA,NA,NA,NA,NA,NA
"Black-eared Shrike-Babbler","Pteruthius melanotis","","","",NA,NA,NA,NA,NA,NA
"Clicking Shrike-Babbler","Pteruthius intermedius","","","",NA,NA,NA,NA,NA,NA
"White-bellied Erpornis","Erpornis zantholeuca","","","",NA,NA,NA,NA,NA,NA
"Mangrove Whistler","Pachycephala cinerea","","","",NA,NA,NA,NA,NA,NA
"Eurasian Golden Oriole","Oriolus oriolus","","","",NA,NA,NA,NA,NA,NA
"Indian Golden Oriole","Oriolus kundoo","","","X",13,0.615384615384615,0.865384615384615,0.923076923076923,13.0769230769231,4.73625006669623
"Black-naped Oriole","Oriolus chinensis","","","X",9,0.333333333333333,0.513888888888889,0.777777777777778,16.2222222222222,5.20393203664069
"Slender-billed Oriole","Oriolus tenuirostris","","","",NA,NA,NA,NA,NA,NA
"Black-hooded Oriole","Oriolus xanthornus","","","X",14,0.571428571428571,0.776785714285714,0.785714285714286,12.2857142857143,4.65106108654458
