"eBird.English.Name.2024","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Fulvous Whistling-Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Lesser Whistling-Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Bar-headed Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Graylag Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Greater White-fronted Goose",NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA
"Whooper Swan",NA,NA,NA,NA
"Knob-billed Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Ruddy Shelduck","Insufficient Data","Insufficient Data",NA,"Low"
"Common Shelduck",NA,NA,NA,NA
"Cotton Pygmy-Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Mandarin Duck",NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA
"Garganey","Insufficient Data","Insufficient Data",NA,"Low"
"Northern Shoveler","Insufficient Data","Insufficient Data",NA,"Low"
"Gadwall","Insufficient Data","Insufficient Data",NA,"Low"
"Falcated Duck",NA,NA,NA,NA
"Eurasian Wigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Indian Spot-billed Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Eastern Spot-billed Duck",NA,NA,NA,NA
"Mallard",NA,NA,NA,NA
"Northern Pintail","Insufficient Data","Insufficient Data",NA,"Low"
"Green-winged Teal","Insufficient Data","Insufficient Data",NA,"Low"
"Andaman Teal",NA,NA,NA,NA
"Marbled Duck",NA,NA,NA,NA
"Pink-headed Duck",NA,NA,NA,NA
"White-winged Duck",NA,NA,NA,NA
"Red-crested Pochard","Insufficient Data","Insufficient Data",NA,"Low"
"Common Pochard","Insufficient Data","Insufficient Data",NA,"Moderate"
"Ferruginous Duck","Insufficient Data","Insufficient Data",NA,"Moderate"
"Baer's Pochard",NA,NA,NA,NA
"Tufted Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Greater Scaup",NA,NA,NA,NA
"Long-tailed Duck",NA,NA,NA,NA
"Common Goldeneye",NA,NA,NA,NA
"Smew",NA,NA,NA,NA
"Common Merganser",NA,NA,NA,NA
"Red-breasted Merganser",NA,NA,NA,NA
"White-headed Duck",NA,NA,NA,NA
"Nicobar Megapode",NA,NA,NA,NA
"Hill Partridge",NA,NA,NA,NA
"Chestnut-breasted Partridge",NA,NA,NA,NA
"Rufous-throated Partridge",NA,NA,NA,NA
"White-cheeked Partridge",NA,NA,NA,NA
"Snow Partridge",NA,NA,NA,NA
"Blood Pheasant",NA,NA,NA,NA
"Western Tragopan",NA,NA,NA,NA
"Satyr Tragopan",NA,NA,NA,NA
"Blyth's Tragopan",NA,NA,NA,NA
"Temminck's Tragopan",NA,NA,NA,NA
"Himalayan Monal",NA,NA,NA,NA
"Sclater's Monal",NA,NA,NA,NA
"Koklass Pheasant",NA,NA,NA,NA
"Tibetan Partridge",NA,NA,NA,NA
"Mrs. Hume's Pheasant",NA,NA,NA,NA
"Cheer Pheasant",NA,NA,NA,NA
"Kalij Pheasant",NA,NA,NA,NA
"Indian Peafowl","Insufficient Data","Insufficient Data",NA,"Moderate"
"Green Peafowl",NA,NA,NA,NA
"Red Spurfowl","Insufficient Data","Insufficient Data",NA,"Moderate"
"Painted Spurfowl","Insufficient Data","Trend Inconclusive",NA,"Low"
"Gray Peacock-Pheasant",NA,NA,NA,NA
"Mountain Bamboo-Partridge",NA,NA,NA,NA
"Red Junglefowl","Insufficient Data","Insufficient Data",NA,"Low"
"Gray Junglefowl","Insufficient Data","Insufficient Data",NA,"Moderate"
"Gray Francolin","Insufficient Data","Insufficient Data",NA,"Low"
"Swamp Francolin",NA,NA,NA,NA
"Chinese Francolin",NA,NA,NA,NA
"Black Francolin",NA,NA,NA,NA
"Painted Francolin","Insufficient Data","Trend Inconclusive",NA,"Low"
"Tibetan Snowcock",NA,NA,NA,NA
"Himalayan Snowcock",NA,NA,NA,NA
"Blue-breasted Quail",NA,NA,NA,NA
"Common Quail",NA,NA,NA,NA
"Japanese Quail",NA,NA,NA,NA
"Rain Quail","Insufficient Data","Insufficient Data",NA,"Low"
"Chukar",NA,NA,NA,NA
"Jungle Bush-Quail","Insufficient Data","Insufficient Data",NA,"Moderate"
"Rock Bush-Quail","Insufficient Data","Insufficient Data",NA,"Moderate"
"Painted Bush-Quail",NA,NA,NA,NA
"Manipur Bush-Quail",NA,NA,NA,NA
"Himalayan Quail",NA,NA,NA,NA
"Greater Flamingo","Insufficient Data","Insufficient Data",NA,"Low"
"Lesser Flamingo",NA,NA,NA,NA
"Little Grebe","Insufficient Data","Insufficient Data",NA,"Low"
"Horned Grebe",NA,NA,NA,NA
"Red-necked Grebe",NA,NA,NA,NA
"Great Crested Grebe",NA,NA,NA,NA
"Eared Grebe",NA,NA,NA,NA
"Rock Pigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Hill Pigeon",NA,NA,NA,NA
"Snow Pigeon",NA,NA,NA,NA
"Yellow-eyed Pigeon",NA,NA,NA,NA
"Common Wood-Pigeon",NA,NA,NA,NA
"Speckled Wood-Pigeon",NA,NA,NA,NA
"Ashy Wood-Pigeon",NA,NA,NA,NA
"Nilgiri Wood-Pigeon",NA,NA,NA,NA
"Pale-capped Pigeon","Insufficient Data","Insufficient Data",NA,"High"
"Andaman Wood-Pigeon",NA,NA,NA,NA
"European Turtle-Dove",NA,NA,NA,NA
"Oriental Turtle-Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Eurasian Collared-Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Red Collared-Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Spotted Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Laughing Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Barred Cuckoo-Dove",NA,NA,NA,NA
"Andaman Cuckoo-Dove",NA,NA,NA,NA
"Namaqua Dove",NA,NA,NA,NA
"Asian Emerald Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Nicobar Pigeon",NA,NA,NA,NA
"Orange-breasted Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Gray-fronted Green-Pigeon",NA,NA,NA,NA
"Andaman Green-Pigeon",NA,NA,NA,NA
"Ashy-headed Green-Pigeon",NA,NA,NA,NA
"Thick-billed Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Yellow-footed Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Pin-tailed Green-Pigeon",NA,NA,NA,NA
"Wedge-tailed Green-Pigeon",NA,NA,NA,NA
"Green Imperial-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Nicobar Imperial-Pigeon",NA,NA,NA,NA
"Malabar Imperial-Pigeon",NA,NA,NA,NA
"Mountain Imperial-Pigeon",NA,NA,NA,NA
"Pied Imperial-Pigeon",NA,NA,NA,NA
"Tibetan Sandgrouse",NA,NA,NA,NA
"Pallas's Sandgrouse",NA,NA,NA,NA
"Pin-tailed Sandgrouse",NA,NA,NA,NA
"Chestnut-bellied Sandgrouse","Insufficient Data","Trend Inconclusive",NA,"Low"
"Spotted Sandgrouse",NA,NA,NA,NA
"Black-bellied Sandgrouse",NA,NA,NA,NA
"Painted Sandgrouse","Insufficient Data","Insufficient Data",NA,"Moderate"
"Great Indian Bustard",NA,NA,NA,NA
"Asian Houbara",NA,NA,NA,NA
"Bengal Florican",NA,NA,NA,NA
"Lesser Florican","Insufficient Data","Insufficient Data",NA,"High"
"Little Bustard",NA,NA,NA,NA
"Andaman Coucal",NA,NA,NA,NA
"Greater Coucal","Insufficient Data","Insufficient Data",NA,"Low"
"Lesser Coucal",NA,NA,NA,NA
"Sirkeer Malkoha","Insufficient Data","Trend Inconclusive",NA,"Low"
"Blue-faced Malkoha","Insufficient Data","Insufficient Data",NA,"Moderate"
"Green-billed Malkoha","Insufficient Data","Insufficient Data",NA,"Low"
"Chestnut-winged Cuckoo",NA,NA,NA,NA
"Pied Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Koel","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Emerald Cuckoo",NA,NA,NA,NA
"Violet Cuckoo",NA,NA,NA,NA
"Horsfield's Bronze-Cuckoo",NA,NA,NA,NA
"Banded Bay Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Plaintive Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Gray-bellied Cuckoo","Insufficient Data","Insufficient Data",NA,"Moderate"
"Fork-tailed Drongo-Cuckoo","Insufficient Data","Insufficient Data",NA,"Moderate"
"Square-tailed Drongo-Cuckoo",NA,NA,NA,NA
"Large Hawk-Cuckoo",NA,NA,NA,NA
"Common Hawk-Cuckoo","Insufficient Data","Insufficient Data",NA,"Moderate"
"Hodgson's Hawk-Cuckoo",NA,NA,NA,NA
"Lesser Cuckoo",NA,NA,NA,NA
"Indian Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Himalayan Cuckoo",NA,NA,NA,NA
"Common Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Sri Lanka Frogmouth",NA,NA,NA,NA
"Hodgson's Frogmouth",NA,NA,NA,NA
"Great Eared-Nightjar",NA,NA,NA,NA
"Jungle Nightjar",NA,NA,NA,NA
"Gray Nightjar",NA,NA,NA,NA
"Eurasian Nightjar",NA,NA,NA,NA
"Sykes's Nightjar",NA,NA,NA,NA
"Large-tailed Nightjar",NA,NA,NA,NA
"Andaman Nightjar",NA,NA,NA,NA
"Jerdon's Nightjar",NA,NA,NA,NA
"Indian Nightjar",NA,NA,NA,NA
"Savanna Nightjar",NA,NA,NA,NA
"White-rumped Spinetail","Insufficient Data","Insufficient Data",NA,"Moderate"
"White-throated Needletail",NA,NA,NA,NA
"Silver-backed Needletail",NA,NA,NA,NA
"Brown-backed Needletail",NA,NA,NA,NA
"Plume-toed Swiftlet",NA,NA,NA,NA
"Indian Swiftlet",NA,NA,NA,NA
"Himalayan Swiftlet",NA,NA,NA,NA
"White-nest Swiftlet",NA,NA,NA,NA
"Alpine Swift","Insufficient Data","Insufficient Data",NA,"Low"
"Common Swift",NA,NA,NA,NA
"Pacific Swift",NA,NA,NA,NA
"Blyth's Swift",NA,NA,NA,NA
"Dark-rumped Swift",NA,NA,NA,NA
"Little Swift","Insufficient Data","Insufficient Data",NA,"Low"
"House Swift",NA,NA,NA,NA
"Asian Palm Swift","Insufficient Data","Insufficient Data",NA,"Low"
"Crested Treeswift","Insufficient Data","Insufficient Data",NA,"Low"
"Water Rail",NA,NA,NA,NA
"Brown-cheeked Rail",NA,NA,NA,NA
"Corn Crake",NA,NA,NA,NA
"Slaty-breasted Rail","Insufficient Data","Insufficient Data",NA,"Low"
"Spotted Crake",NA,NA,NA,NA
"Eurasian Moorhen","Insufficient Data","Insufficient Data",NA,"Low"
"Eurasian Coot","Insufficient Data","Insufficient Data",NA,"Low"
"Gray-headed Swamphen","Insufficient Data","Insufficient Data",NA,"Low"
"White-browed Crake",NA,NA,NA,NA
"Watercock","Insufficient Data","Insufficient Data",NA,"Low"
"White-breasted Waterhen","Insufficient Data","Insufficient Data",NA,"Low"
"Andaman Crake",NA,NA,NA,NA
"Red-legged Crake",NA,NA,NA,NA
"Slaty-legged Crake",NA,NA,NA,NA
"Ruddy-breasted Crake","Insufficient Data","Insufficient Data",NA,"Low"
