"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor",NA,"","X",5,NA,0.7,0.8,8.6,4.62161184004022
"Lesser Whistling-Duck","Dendrocygna javanica",NA,"","X",6,NA,0.5,0.666666666666667,7.83333333333333,4.06171611240591
"Bar-headed Goose","Anser indicus",NA,"","",NA,NA,NA,NA,NA,NA
"Graylag Goose","Anser anser",NA,"","",NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose","Anser albifrons",NA,"","",NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus",NA,"","",NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis",NA,"","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris",NA,"","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis",NA,"","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor",NA,"","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus",NA,"","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus",NA,"","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos",NA,"","X",2,NA,0.625,NA,9,9.8
"Ruddy Shelduck","Tadorna ferruginea",NA,"","",NA,NA,NA,NA,NA,NA
"Common Shelduck","Tadorna tadorna",NA,"","",NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus",NA,"","X",3,NA,0.708333333333333,0.666666666666667,9.66666666666667,5.80695368597952
"Mandarin Duck","Aix galericulata",NA,"","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa",NA,"","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula",NA,"","X",3,NA,0.791666666666667,0.666666666666667,9.66666666666667,5.80695368597952
"Northern Shoveler","Spatula clypeata",NA,"","X",3,NA,0.714285714285714,0.333333333333333,9.66666666666667,5.80695368597952
"Gadwall","Mareca strepera",NA,"","",NA,NA,NA,NA,NA,NA
"Falcated Duck","Mareca falcata",NA,"","",NA,NA,NA,NA,NA,NA
"Eurasian Wigeon","Mareca penelope",NA,"","X",3,NA,0.5,0.666666666666667,9.66666666666667,5.80695368597952
"Indian Spot-billed Duck","Anas poecilorhyncha",NA,"","X",4,NA,0.6875,0.75,10.25,4.26234286122863
"Eastern Spot-billed Duck","Anas zonorhyncha",NA,"","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos",NA,"","",NA,NA,NA,NA,NA,NA
"Northern Pintail","Anas acuta",NA,"","X",4,0.25,0.5,0.25,7.75,5.56533017888427
"Green-winged Teal","Anas crecca",NA,"","X",2,NA,0.5,0.5,7.5,6.86
"Andaman Teal","Anas albogularis",NA,"","",NA,NA,NA,NA,NA,NA
"Marbled Duck","Marmaronetta angustirostris",NA,"","",NA,NA,NA,NA,NA,NA
"Pink-headed Duck","Rhodonessa caryophyllacea",NA,"","",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata",NA,"","",NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina",NA,"","",NA,NA,NA,NA,NA,NA
"Common Pochard","Aythya ferina",NA,"","",NA,NA,NA,NA,NA,NA
"Ferruginous Duck","Aythya nyroca",NA,"","",NA,NA,NA,NA,NA,NA
"Baer's Pochard","Aythya baeri",NA,"","",NA,NA,NA,NA,NA,NA
"Tufted Duck","Aythya fuligula",NA,"","",NA,NA,NA,NA,NA,NA
"Greater Scaup","Aythya marila",NA,"","",NA,NA,NA,NA,NA,NA
"Long-tailed Duck","Clangula hyemalis",NA,"","",NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula",NA,"","",NA,NA,NA,NA,NA,NA
"Smew","Mergellus albellus",NA,"","",NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser",NA,"","",NA,NA,NA,NA,NA,NA
"Red-breasted Merganser","Mergus serrator",NA,"","",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala",NA,"","",NA,NA,NA,NA,NA,NA
"Nicobar Megapode","Megapodius nicobariensis",NA,"","",NA,NA,NA,NA,NA,NA
"Hill Partridge","Arborophila torqueola",NA,"","",NA,NA,NA,NA,NA,NA
"Chestnut-breasted Partridge","Arborophila mandellii",NA,"","",NA,NA,NA,NA,NA,NA
"Rufous-throated Partridge","Arborophila rufogularis",NA,"","",NA,NA,NA,NA,NA,NA
"White-cheeked Partridge","Arborophila atrogularis",NA,"","",NA,NA,NA,NA,NA,NA
"Snow Partridge","Lerwa lerwa",NA,"","",NA,NA,NA,NA,NA,NA
"Blood Pheasant","Ithaginis cruentus",NA,"","",NA,NA,NA,NA,NA,NA
