"eBird.English.Name.2024","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Fulvous Whistling-Duck",NA,NA,NA,NA
"Lesser Whistling-Duck","Stable","Trend Inconclusive",NA,"Low"
"Bar-headed Goose","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Graylag Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Greater White-fronted Goose",NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA
"Whooper Swan",NA,NA,NA,NA
"Knob-billed Duck","Stable","Trend Inconclusive",NA,"Low"
"Ruddy Shelduck","Decline","Trend Inconclusive",NA,"Moderate"
"Common Shelduck",NA,NA,NA,NA
"Cotton Pygmy-Goose","Rapid Decline","Trend Inconclusive",NA,"Moderate"
"Mandarin Duck",NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA
"Garganey","Stable","Trend Inconclusive",NA,"Low"
"Northern Shoveler","Trend Inconclusive","Stable",NA,"Low"
"Gadwall","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Falcated Duck","Insufficient Data","Insufficient Data",NA,"Moderate"
"Eurasian Wigeon","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Indian Spot-billed Duck","Stable","Stable",NA,"Low"
"Eastern Spot-billed Duck",NA,NA,NA,NA
"Mallard","Decline","Trend Inconclusive",NA,"Moderate"
"Northern Pintail","Decline","Stable",NA,"Low"
"Green-winged Teal","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Andaman Teal","Insufficient Data","Insufficient Data",NA,"High"
"Marbled Duck","Insufficient Data","Insufficient Data",NA,"High"
"Pink-headed Duck",NA,NA,NA,NA
"White-winged Duck","Trend Inconclusive","Trend Inconclusive",NA,"High"
"Red-crested Pochard","Insufficient Data","Trend Inconclusive",NA,"Low"
"Common Pochard","Trend Inconclusive","Trend Inconclusive",NA,"Moderate"
"Ferruginous Duck","Insufficient Data","Trend Inconclusive",NA,"Moderate"
"Baer's Pochard","Insufficient Data","Insufficient Data",NA,"High"
"Tufted Duck","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Greater Scaup",NA,NA,NA,NA
"Long-tailed Duck",NA,NA,NA,NA
"Common Goldeneye",NA,NA,NA,NA
"Smew",NA,NA,NA,NA
"Common Merganser","Insufficient Data","Trend Inconclusive",NA,"Low"
"Red-breasted Merganser",NA,NA,NA,NA
"White-headed Duck",NA,NA,NA,NA
