gridg0,grid_label,total_checklists,wetland_checklists,non_wetland_checklists,wetland_proportion,mean_wetland_probability,n_timegroups,wetland_timegroups
100244,wetland,49,38,11,0.7755102040816326,0.5756125661973469,9,"2007-2010, 2013, 2016, 2018, 2020, 2022, 2023, 2024, 2025"
100245,wetland,7,3,4,0.42857142857142855,0.4539307428571428,6,"2018, 2021, 2022"
100246,non-wetland,2,0,2,0.0,0.04424908087,2,
100247,non-wetland,16,0,16,0.0,0.03421073445025625,4,
100250,non-wetland,21,0,21,0.0,0.09347443985366667,7,
100251,non-wetland,7,0,7,0.0,0.021792509840857142,3,
100252,non-wetland,2,0,2,0.0,0.018047537399999997,2,
100253,non-wetland,4,0,4,0.0,0.016077274,1,
100254,non-wetland,1,0,1,0.0,0.00014230954,1,
100255,wetland,53,6,47,0.11320754716981132,0.22151210573988678,9,"2016, 2023"
100256,non-wetland,40,1,39,0.025,0.026703243348345,7,
100257,non-wetland,554,26,528,0.04693140794223827,0.06505469213292797,10,
100258,wetland,1491,90,1401,0.060362173038229376,0.0735341921251652,11,2016
100259,non-wetland,3,0,3,0.0,0.0013856076533333333,1,
100260,wetland,18,4,14,0.2222222222222222,0.24421476732222225,5,"2017, 2020"
100261,wetland,23,4,19,0.17391304347826086,0.22414728493913041,9,"2016, 2017, 2018, 2024"
100262,wetland,12,1,11,0.08333333333333333,0.09490135304250001,4,2025
100263,non-wetland,1,0,1,0.0,0.0874732,1,
100264,wetland,8,4,4,0.5,0.458222385,4,"2022, 2023"
100265,wetland,9,4,5,0.4444444444444444,0.45635060133333333,4,"2020, 2025"
100266,non-wetland,1262,336,926,0.2662440570522979,0.275510620394654,16,
100267,wetland,24,17,7,0.7083333333333334,0.576448591375,7,"2018, 2022, 2024, 2025"
100268,wetland,7,3,4,0.42857142857142855,0.35737378674285714,5,"2011-2012, 2025"
100269,wetland,12,9,3,0.75,0.6109769708333334,4,"2023, 2024, 2025"
100270,wetland,9,2,7,0.2222222222222222,0.20129814787955558,5,2025
100271,non-wetland,3,0,3,0.0,0.008087086733333334,2,
100272,non-wetland,1,0,1,0.0,1.3426745e-05,1,
100273,non-wetland,6,0,6,0.0,0.0018643525066666666,2,
100274,wetland,29,5,24,0.1724137931034483,0.20843564066510345,6,2023
100275,wetland,3,2,1,0.6666666666666666,0.512463497,2,2015
100276,wetland,4,2,2,0.5,0.4010559855,1,2022
100277,wetland,5,3,2,0.6,0.5156993158,2,2025
100279,wetland,2,1,1,0.5,0.430436455,2,2024
100281,non-wetland,2,0,2,0.0,0.025009001,2,
100283,non-wetland,15,0,15,0.0,0.028874692814606664,3,
100284,non-wetland,1,0,1,0.0,0.0,1,
100285,non-wetland,3,0,3,0.0,0.04955554166666667,1,
100286,non-wetland,1,0,1,0.0,0.010055234,1,
100290,non-wetland,2,0,2,0.0,0.0033333334,1,
100292,non-wetland,1,0,1,0.0,1.6129032e-05,1,
100293,non-wetland,5,0,5,0.0,0.18397477167804,1,
100294,non-wetland,17,0,17,0.0,0.019872718416470588,4,
