"Species","No_of_Subspecies"
"Dendrocopos hyperythrus",2
"Dendrocopos macei",2
"Dendrocopos major",1
"Dendrocoptes auriceps",1
"Dendrocygna bicolor",1
"Dendrocygna javanica",1
"Dendronanthus indicus",1
"Dicaeum concolor",1
"Dicaeum cruentatum",1
"Dicaeum erythrorhynchos",1
"Dicaeum ignipectus",1
"Dicaeum minullum",1
"Dicaeum virescens",1
"Dicrurus aeneus",1
"Dicrurus andamanensis",2
"Dicrurus annectens",1
"Dicrurus caerulescens",1
"Dicrurus hottentottus",1
"Dicrurus leucophaeus",4
"Dicrurus macrocercus",2
"Dicrurus paradiseus",5
"Dicrurus remifer",1
"Dinopium benghalense",4
"Dinopium javanense",2
"Dinopium shorii",1
"Dromas ardeola",1
"Dryobates cathpharius",3
"Dryocopus hodgei",1
"Dryocopus javensis",1
"Ducula aenea",3
"Ducula badia",2
"Ducula bicolor",1
"Ducula cuprea",1
"Ducula nicobarica",1
"Dumetia atriceps",2
"Dumetia hyperythra",2
"Egretta eulophotes",1
"Egretta garzetta",1
"Egretta gularis",1
"Egretta sacra",1
"Elachura formosa",1
"Elanus caeruleus",1
"Emberiza aureola",2
"Emberiza bruniceps",1
"Emberiza buchanani",3
"Emberiza chrysophrys",1
"Emberiza cia",2
"Emberiza cioides",1
"Emberiza citrinella",1
"Emberiza fucata",2
"Emberiza godlewskii",2
"Emberiza hortulana",1
"Emberiza lathami",1
"Emberiza leucocephalos",1
"Emberiza melanocephala",1
"Emberiza pusilla",1
"Emberiza rustica",1
"Emberiza rutila",1
"Emberiza schoeniclus",1
"Emberiza spodocephala",1
"Emberiza stewarti",1
"Emberiza striolata",1
"Emberiza tristrami",1
"Enicurus immaculatus",1
"Enicurus leschenaulti",1
"Enicurus maculatus",2
"Enicurus schistaceus",1
"Enicurus scouleri",1
"Eophona migratoria",1
"Ephippiorhynchus asiaticus",1
"Eremophila alpestris",4
"Eremopterix griseus",1
"Eremopterix nigriceps",1
"Erpornis zantholeuca",1
"Erythrogenys erythrogenys",2
"Erythrogenys hypoleucos",1
"Erythrogenys mcclellandi",1
"Erythrura prasina",1
"Esacus magnirostris",1
"Esacus recurvirostris",1
"Eudynamys scolopaceus",2
"Eumyias albicaudatus",1
"Eumyias thalassinus",1
"Euodice malabarica",1
"Eurystomus orientalis",3
"Falco amurensis",1
"Falco cherrug",2
"Falco chicquera",1
"Falco columbarius",3
"Falco jugger",1
"Falco naumanni",1
"Falco peregrinus",5
"Falco severus",1
"Falco subbuteo",1
"Falco tinnunculus",3
"Falco vespertinus",1
"Ficedula albicilla",1
"Ficedula erithacus",1
"Ficedula hodgsoni",1
"Ficedula hyperythra",1
"Ficedula mugimaki",1
"Ficedula nigrorufa",1
"Ficedula parva",1
"Ficedula ruficauda",1
"Ficedula sapphira",1
"Ficedula strophiata",1
"Ficedula subrubra",1
"Ficedula superciliaris",2
"Ficedula tricolor",3
"Ficedula westermanni",2
"Ficedula zanthopygia",1
"Francolinus francolinus",3
"Francolinus pictus",2
"Francolinus pintadeanus",1
"Fregata andrewsi",1
"Fregata ariel",2
"Fregata minor",1
"Fregetta tropica",1
"Fringilla coelebs",1
"Fringilla montifringilla",1
"Fulica atra",1
"Fulvetta ludlowi",1
"Fulvetta manipurensis",1
"Fulvetta vinipectus",5
"Galerida cristata",3
"Galerida deva",1
"Galerida malabarica",1
"Gallicrex cinerea",1
"Gallinago gallinago",1
"Gallinago media",1
"Gallinago megala",1
"Gallinago nemoricola",1
"Gallinago solitaria",1
"Gallinago stenura",1
"Gallinula chloropus",2
"Galloperdix lunulata",1
"Galloperdix spadicea",3
"Gallus gallus",2
"Gallus sonneratii",1
"Gampsorhynchus rufulus",1
"Garrulax leucolophus",2
"Garrulax merulinus",1
"Garrulax monileger",2
"Garrulus glandarius",4
"Garrulus lanceolatus",1
"Gavia arctica",1
"Gavia stellata",1
"Gecinulus grantia",1
"Gelochelidon nilotica",2
"Geokichla citrina",5
"Geokichla sibirica",2
"Geokichla wardii",1
"Glareola lactea",1
"Glareola maldivarum",1
"Glareola pratincola",1
"Glaucidium cuculoides",3
"Glaucidium radiatum",2
"Gorsachius melanolophus",2
"Gracula indica",1
"Gracula religiosa",3
"Gracupica contra",3
"Graminicola bengalensis",1
"Grammatoptila striata",4
"Grandala coelicolor",1
"Grus grus",1
"Grus nigricollis",1
"Grus virgo",1
"Gygis candida",1
"Gymnoris xanthocollis",2
"Gypaetus barbatus",1
"Gyps bengalensis",1
"Gyps fulvus",1
"Gyps himalayensis",1
"Gyps indicus",1
"Gyps tenuirostris",1
"Gypsophila brevicaudata",1
"Haematopus ostralegus",2
"Halcyon coromanda",2
"Halcyon pileata",1
"Halcyon smyrnensis",4
"Haliaeetus albicilla",1
"Haliaeetus leucoryphus",1
"Haliastur indus",1
"Harpactes erythrocephalus",2
"Harpactes fasciatus",2
"Harpactes wardi",1
"Heliopais personatus",1
"Helopsaltes certhiola",3
"Hemicircus canente",1
"Hemiprocne coronata",1
"Hemipus picatus",2
"Hemitesia pallidipes",2
"Hemixos flavala",1
"Heterophasia capistrata",3
"Heterophasia gracilis",1
"Heterophasia picaoides",1
"Heterophasia pulchella",2
"Heteroxenicus stellatus",1
"Hieraaetus pennatus",1
"Hierococcyx nisicolor",1
"Hierococcyx sparverioides",1
"Hierococcyx varius",1
"Himantopus himantopus",1
"Hippolais icterina",1
"Hirundapus caudacutus",2
"Hirundapus cochinchinensis",2
"Hirundapus giganteus",1
"Hirundo domicola",1
"Hirundo javanica",1
"Hirundo rustica",3
"Hirundo smithii",1
"Horornis brunnescens",1
"Horornis canturians",1
"Horornis flavolivaceus",3
"Horornis fortipes",2
"Houbaropsis bengalensis",1
"Hydrobates monorhis",1
"Hydrocoloeus minutus",1
"Hydrophasianus chirurgus",1
"Hydroprogne caspia",1
"Hydrornis cyaneus",1
"Hydrornis nipalensis",1
"Hypocolius ampelinus",1
"Hypothymis azurea",4
"Hypsipetes ganeesa",1
"Hypsipetes leucocephalus",3
"Hypsipetes nicobariensis",1
"Ianthocincla cineracea",1
"Ianthocincla ocellata",2
"Ianthocincla rufogularis",5
"Ibidorhyncha struthersii",1
"Ichthyaetus hemprichii",1
"Ichthyaetus ichthyaetus",1
"Ichthyaetus leucophthalmus",1
"Icthyophaga humilis",1
"Icthyophaga ichthyaetus",1
"Icthyophaga leucogaster",1
"Ictinaetus malaiensis",1
"Iduna caligata",1
"Iduna rama",1
"Indicator xanthonotus",2
"Iole cacharensis",1
"Iole propinqua",1
"Irena puella",2
"Ithaginis cruentus",4
"Ixos mcclellandii",1
"Jynx torquilla",4
"Ketupa coromanda",1
"Ketupa flavipes",1
"Ketupa ketupu",1
"Ketupa nipalensis",1
"Ketupa zeylonensis",2
"Lalage melanoptera",2
"Lalage melaschistos",1
"Lalage nigra",1
"Lanius collurio",1
"Lanius collurioides",1
"Lanius cristatus",4
"Lanius excubitor",4
"Lanius giganteus",1
"Lanius isabellinus",3
"Lanius minor",1
"Lanius nubicus",1
"Lanius phoenicuroides",1
"Lanius schach",3
"Lanius senator",1
"Lanius tephronotus",2
"Lanius tigrinus",1
"Lanius vittatus",1
"Larus cachinnans",1
"Larus canus",1
"Larus fuscus",3
"Larus mongolicus",1
"Larvivora brunnea",1
"Larvivora cyane",1
"Laticilla burnesii",1
"Laticilla cinerascens",1
"Leiopicus mahrattensis",2
"Leioptila annectens",1
"Leiothrix argentauris",3
"Leiothrix lutea",2
"Leptocoma brasiliana",1
"Leptocoma minima",1
"Leptocoma zeylonica",1
"Leptopoecile elegans",1
"Leptopoecile sophiae",2
"Leptoptilos dubius",1
"Leptoptilos javanicus",1
"Lerwa lerwa",1
"Leucogeranus leucogeranus",1
"Leucophaeus atricilla",1
"Leucophaeus pipixcan",1
"Leucoptilon concretum",1
"Leucosticte brandti",3
"Leucosticte nemoricola",2
"Lewinia striata",2
"Limnodromus scolopaceus",1
"Limnodromus semipalmatus",1
"Limosa lapponica",3
"Limosa limosa",2
"Linaria cannabina",1
"Linaria flavirostris",2
"Liocichla bugunorum",1
"Liocichla phoenicea",2
"Lioparus chrysotis",2
"Locustella davidi",1
"Locustella kashmirensis",1
"Locustella lanceolata",1
"Locustella luteoventris",1
"Locustella major",1
"Locustella mandelli",1
"Locustella naevia",2
"Locustella tacsanowskia",1
"Locustella thoracica",1
"Lonchura atricapilla",2
"Lonchura kelaarti",2
"Lonchura malacca",1
"Lonchura punctulata",2
"Lonchura striata",4
"Lophophanes dichrous",2
"Lophophorus impejanus",1
"Lophophorus sclateri",2
"Lophospiza trivirgata",2
"Lophotriorchis kienerii",1
"Lophura leucomelanos",5
"Loriculus vernalis",1
"Loxia curvirostra",1
"Luscinia phaenicuroides",1
"Luscinia svecica",4
"Lymnocryptes minimus",1
"Lyncornis macrotis",2
"Machlolophus aplonotus",2
"Machlolophus nuchalis",1
"Machlolophus spilonotus",2
"Machlolophus xanthogenys",1
"Macropygia rufipennis",2
"Macropygia unchall",1
"Malacocincla abbotti",2
"Mareca falcata",1
"Mareca penelope",1
"Mareca strepera",1
"Marmaronetta angustirostris",1
"Megaceryle lugubris",2
"Megalurus palustris",1
"Megapodius nicobariensis",2
"Melanochlora sultanea",1
"Melanocorypha bimaculata",1
"Melanocorypha maxima",1
"Mergellus albellus",1
"Mergus merganser",2
"Mergus serrator",1
"Merops apiaster",1
"Merops leschenaulti",2
"Merops orientalis",3
"Merops persicus",1
"Merops philippinus",1
"Merops viridis",1
"Metopidius indicus",1
"Microcarbo niger",1
"Microhierax caerulescens",2
"Microhierax melanoleucos",1
"Micropternus brachyurus",3
"Microtarsus fuscoflavescens",1
"Microtarsus melanocephalos",1
"Microtarsus priocephalus",1
"Milvus migrans",3
"Milvus milvus",1
"Minla ignotincta",1
"Mirafra javanica",1
"Mixornis gularis",1
"Montecincla cachinnans",1
"Montecincla fairbanki",1
"Montecincla jerdoni",1
"Montecincla meridionalis",1
"Monticola cinclorhyncha",1
"Monticola gularis",1
"Monticola rufiventris",1
"Monticola saxatilis",1
"Monticola solitarius",3
"Montifringilla adamsi",1
"Motacilla alba",7
"Motacilla cinerea",1
"Motacilla citreola",3
"Motacilla flava",5
"Motacilla maderaspatensis",1
"Motacilla tschutschensis",3
"Mulleripicus pulverulentus",2
"Muscicapa dauurica",1
"Muscicapa ferruginea",1
"Muscicapa griseisticta",1
"Muscicapa muttui",1
"Muscicapa sibirica",2
"Muscicapa striata",3
"Mycerobas affinis",1
"Mycerobas carnipes",1
"Mycerobas icterioides",1
"Mycerobas melanozanthos",1
"Mycteria leucocephala",1
"Myiomela leucura",1
"Myophonus caeruleus",2
"Myophonus horsfieldii",1
"Myzornis pyrrhoura",1
"Napothera epilepidota",2
"Napothera malacoptila",1
"Neophron percnopterus",2
"Netta rufina",1
"Nettapus coromandelianus",1
"Niltava grandis",1
"Niltava macgrigoriae",2
"Niltava oatesi",1
"Niltava sundara",2
"Ninox affinis",1
"Ninox obscura",1
"Ninox scutulata",5
"Nisaetus cirrhatus",3
"Nisaetus kelaarti",1
"Nisaetus nipalensis",1
"Nucifraga hemispila",2
"Nucifraga multipunctata",1
"Numenius arquata",3
"Numenius phaeopus",4
"Nycticorax nycticorax",1
"Nyctyornis athertoni",1
"Oceanites oceanicus",1
"Ocyceros birostris",1
"Ocyceros griseus",1
"Oena capensis",1
"Oenanthe albonigra",1
"Oenanthe chrysopygia",1
"Oenanthe deserti",2
"Oenanthe finschii",1
"Oenanthe fusca",1
"Oenanthe isabellina",1
"Oenanthe oenanthe",2
"Oenanthe picata",1
"Oenanthe pleschanka",1
"Onychoprion anaethetus",1
"Onychoprion fuscatus",1
"Onychostruthus taczanowskii",1
"Ophrysia superciliosa",1
"Oriolus chinensis",3
"Oriolus kundoo",1
"Oriolus oriolus",1
"Oriolus tenuirostris",1
"Oriolus traillii",1
"Oriolus xanthornus",3
"Oroanassa magnifica",1
"Orthotomus atrogularis",1
"Orthotomus sutorius",3
"Ortygornis gularis",1
"Ortygornis pondicerianus",2
"Otus alius",1
"Otus bakkamoena",4
"Otus balli",1
"Otus brucei",1
"Otus lettia",2
"Otus scops",2
"Otus spilocephalus",2
"Otus sunia",4
"Oxyura leucocephala",1
"Pachycephala cinerea",1
"Pachyglossa agilis",2
"Pachyglossa chrysorrhea",1
"Pachyglossa melanozantha",1
"Pandion haliaetus",1
"Paradoxornis aemodius",1
"Paradoxornis bakeri",1
"Paradoxornis flavirostris",1
"Paradoxornis gularis",3
"Paradoxornis guttaticollis",1
"Paradoxornis ruficeps",1
"Paradoxornis unicolor",1
"Parus cinereus",5
"Parus monticolus",2
"Passer cinnamomeus",2
"Passer domesticus",3
"Passer hispaniolensis",1
"Passer montanus",4
"Passer pyrrhonotus",1
"Pastor roseus",1
"Pavo cristatus",1
"Pavo muticus",1
"Pelagodroma marina",1
"Pelargopsis amauroptera",1
"Pelargopsis capensis",3
"Pelecanus crispus",1
"Pelecanus onocrotalus",1
"Pelecanus philippensis",1
"Pellorneum albiventre",2
"Pellorneum palustre",1
"Pellorneum ruficeps",9
"Pellorneum tickelli",1
"Perdicula argoondah",3
"Perdicula asiatica",4
"Perdicula erythrorhyncha",2
"Perdicula manipurensis",2
"Perdix hodgsoniae",2
"Pericrocotus brevirostris",2
"Pericrocotus cantonensis",1
"Pericrocotus cinnamomeus",5
"Pericrocotus divaricatus",1
"Pericrocotus erythropygius",1
"Pericrocotus ethologus",4
"Pericrocotus flammeus",1
"Pericrocotus roseus",1
"Pericrocotus solaris",1
"Pericrocotus speciosus",4
"Periparus ater",2
"Periparus rubidiventris",2
"Periparus rufonuchalis",1
"Pernis apivorus",1
"Pernis ptilorhynchus",2
"Petrochelidon fluvicola",1
"Petronia petronia",1
"Phaenicophaeus tristis",1
"Phaenicophaeus viridirostris",1
"Phaethon aethereus",1
"Phaethon lepturus",2
"Phaethon rubricauda",1
"Phalacrocorax carbo",1
"Phalacrocorax fuscicollis",1
"Phalaropus fulicarius",1
"Phalaropus lobatus",1
"Phodilus assimilis",1
"Phodilus badius",1
"Phoebetria palpebrata",1
"Phoeniconaias minor",1
"Phoenicopterus roseus",1
"Phoenicurus auroreus",1
"Phoenicurus coeruleocephala",1
"Phoenicurus erythrogastrus",1
"Phoenicurus erythronotus",1
"Phoenicurus frontalis",1
"Phoenicurus fuliginosus",1
"Phoenicurus hodgsoni",1
"Phoenicurus leucocephalus",1
"Phoenicurus ochruros",2
"Phoenicurus phoenicurus",2
"Phoenicurus schisticeps",1
"Phyllergates cucullatus",1
"Phylloscopus affinis",2
"Phylloscopus borealis",1
"Phylloscopus borealoides",1
"Phylloscopus burkii",1
"Phylloscopus cantator",1
"Phylloscopus castaniceps",1
"Phylloscopus chloronotus",2
"Phylloscopus claudiae",1
"Phylloscopus collybita",2
"Phylloscopus forresti",1
"Phylloscopus fuligiventer",3
"Phylloscopus fuscatus",1
"Phylloscopus griseolus",1
"Phylloscopus humei",2
"Phylloscopus inornatus",1
"Phylloscopus intermedius",1
"Phylloscopus maculipennis",2
"Phylloscopus magnirostris",1
"Phylloscopus neglectus",1
"Phylloscopus nitidus",1
"Phylloscopus occipitalis",1
"Phylloscopus plumbeitarsus",1
"Phylloscopus poliogenys",1
"Phylloscopus proregulus",1
"Phylloscopus pulcher",2
"Phylloscopus reguloides",3
"Phylloscopus sibilatrix",1
"Phylloscopus sindianus",1
"Phylloscopus subaffinis",1
"Phylloscopus subviridis",1
"Phylloscopus tenellipes",1
"Phylloscopus tephrocephalus",1
"Phylloscopus trochiloides",3
"Phylloscopus trochilus",1
"Phylloscopus tytleri",1
"Phylloscopus valentini",1
"Phylloscopus whistleri",2
"Phylloscopus xanthoschistos",5
"Phylloscopus yunnanensis",1
"Pica bottanensis",1
"Pica pica",1
"Picumnus innominatus",2
"Picus canus",3
"Picus chlorolophus",3
"Picus squamatus",1
"Picus xanthopygaeus",1
"Pitta abbotti",1
"Pitta brachyura",1
"Pitta megarhyncha",1
"Pitta moluccensis",1
"Pitta sordida",1
"Platalea leucorodia",1
"Plegadis falcinellus",1
"Plocealauda affinis",1
"Plocealauda assamica",1
"Plocealauda erythroptera",1
"Ploceus benghalensis",1
"Ploceus manyar",2
"Ploceus megarhynchus",2
"Ploceus philippinus",3
"Pluvialis apricaria",1
"Pluvialis dominica",1
"Pluvialis fulva",1
"Pluvialis squatarola",1
"Pnoepyga albiventer",2
"Pnoepyga immaculata",1
"Pnoepyga pusilla",1
"Podiceps auritus",1
"Podiceps cristatus",1
"Podiceps grisegena",1
"Podiceps nigricollis",1
"Poliolimnas cinereus",1
"Polyplectron bicalcaratum",1
"Pomatorhinus ferruginosus",1
"Pomatorhinus horsfieldii",4
"Pomatorhinus ochraceiceps",2
"Pomatorhinus phayrei",2
"Pomatorhinus ruficollis",3
"Pomatorhinus schisticeps",5
"Pomatorhinus superciliaris",2
"Porphyrio poliocephalus",1
