eBird.English.Name.2022,eBird.Scientific.Name.2022,eBird.Code,Order,Family,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,BLI.Common.Name,BLI.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,Onepercent.Estimates
Knob-billed Duck,Sarkidiornis melanotos,comduc2,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Moderate,Uncertain,Moderate Decline,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Resident,NA,NA,NA,Knob-billed Duck,Sarkidiornis melanotos,African Comb Duck,Sarkidiornis melanotos,Least Concern,Schedule-II,Appendix II,Appendix II,250
Ruddy Shelduck,Tadorna ferruginea,rudshe,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Ruddy Shelduck,Tadorna ferruginea,Ruddy Shelduck,Tadorna ferruginea,Least Concern,Schedule-II,,Appendix II,500
Common Shelduck,Tadorna tadorna,comshe,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Common Shelduck,Tadorna tadorna,Common Shelduck,Tadorna tadorna,Least Concern,Schedule-II,,Appendix II,1000
Cotton Pygmy-Goose,Nettapus coromandelianus,copgoo1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",High,Strong Decline,Strong Decline,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Resident,NA,NA,NA,Cotton Pygmy Goose,Nettapus coromandelianus,Cotton Pygmy-goose,Nettapus coromandelianus,Least Concern,Schedule-I,,Appendix II,1000
Mandarin Duck,Aix galericulata,manduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Mandarin Duck,Aix galericulata,Mandarin Duck,Aix galericulata,Least Concern,Schedule-II,,Appendix II,
Baikal Teal,Sibirionetta formosa,baitea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Baikal Teal,Sibirionetta formosa,Baikal Teal,Sibirionetta formosa,Least Concern,Schedule-II,Appendix II,Appendix I,
Garganey,Spatula querquedula,gargan,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Stable,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Garganey,Spatula querquedula,Garganey,Spatula querquedula,Least Concern,Schedule-II,,Appendix II,
Northern Shoveler,Spatula clypeata,norsho,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Stable,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Northern Shoveler,Spatula clypeata,Northern Shoveler,Spatula clypeata,Least Concern,Schedule-II,,Appendix II,
Gadwall,Mareca strepera,gadwal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Gadwall,Mareca strepera,Gadwall,Mareca strepera,Least Concern,Schedule-II,,Appendix II,3000
Falcated Duck,Mareca falcata,falduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,1,NA,NA,Falcated Duck,Mareca falcata,Falcated Duck,Mareca falcata,Near Threatened,Schedule-II,,Appendix II,
Eurasian Wigeon,Mareca penelope,eurwig,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Eurasian Wigeon,Mareca penelope,Eurasian Wigeon,Mareca penelope,Least Concern,Schedule-II,,Appendix II,2500
Indian Spot-billed Duck,Anas poecilorhyncha,isbduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Resident,NA,NA,NA,Indian Spot-billed Duck,Anas poecilorhyncha,Indian Spot-billed Duck,Anas poecilorhyncha,Least Concern,Schedule-II,,Appendix II,1000
Eastern Spot-billed Duck,Anas zonorhyncha,spbduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Eastern Spot-billed Duck,Anas zonorhyncha,Chinese Spot-billed Duck,Anas zonorhyncha,Least Concern,Schedule-II,,Appendix II,
Mallard,Anas platyrhynchos,mallar3,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Mallard,Anas platyrhynchos,Mallard,Anas platyrhynchos,Least Concern,Schedule-II,,Appendix II,
Northern Pintail,Anas acuta,norpin,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Northern Pintail,Anas acuta,Northern Pintail,Anas acuta,Least Concern,Schedule-II,,Appendix II,20000
Green-winged Teal,Anas crecca,gnwtea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Common Teal,Anas crecca,Common Teal,Anas crecca,Least Concern,Schedule-II,,Appendix II,
Andaman Teal,Anas albogularis,andtea1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Plant & Seed,No,No,No,Andaman Islands,Wetland,Resident,NA,NA,1,Andaman Teal,Anas albogularis,Andaman Teal,Anas albogularis,Vulnerable,Schedule-I,,Appendix II,7
Marbled Teal,Marmaronetta angustirostris,martea1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,1,NA,NA,Marbled Duck,Marmaronetta angustirostris,Marbled Teal,Marmaronetta angustirostris,Near Threatened,Schedule-I,,Appendix I,50
Pink-headed Duck,Rhodonessa caryophyllacea,pihduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Wetland,Uncertain,NA,1,NA,Pink-headed Duck,Rhodonessa caryophyllacea,Pink-headed Duck,Rhodonessa caryophyllacea,Critically Endangered,Schedule-I,Appendix I,Appendix II,1
White-winged Duck,Asarcornis scutulata,whwduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Resident,1,NA,NA,White-winged Wood Duck,Asarcornis scutulata,White-winged Duck,Asarcornis scutulata,Endangered,Schedule-I,Appendix I,Appendix II,5
Red-crested Pochard,Netta rufina,recpoc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Red-crested Pochard,Netta rufina,Red-crested Pochard,Netta rufina,Least Concern,Schedule-II,,Appendix II,1000
Common Pochard,Aythya ferina,compoc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Moderate,Moderate Decline,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Common Pochard,Aythya ferina,Common Pochard,Aythya ferina,Vulnerable,Schedule-I,,Appendix II,
Ferruginous Duck,Aythya nyroca,ferduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Strong Increase,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Ferruginous Duck,Aythya nyroca,Ferruginous Duck,Aythya nyroca,Near Threatened,Schedule-II,,Appendix I,1000
Baer's Pochard,Aythya baeri,baepoc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,1,NA,NA,Baer's Pochard,Aythya baeri,Baer's Pochard,Aythya baeri,Critically Endangered,Schedule-I,,Appendix I,
Tufted Duck,Aythya fuligula,tufduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Uncertain,Uncertain,Large,24 hour,24 hour,Omnivore,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Tufted Duck,Aythya fuligula,Tufted Duck,Aythya fuligula,Least Concern,Schedule-II,,Appendix II,3900
Greater Scaup,Aythya marila,gresca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Greater Scaup,Aythya marila,Greater Scaup,Aythya marila,Least Concern,Schedule-II,,Appendix II,
Long-tailed Duck,Clangula hyemalis,lotduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Long-tailed Duck,Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,Vulnerable,Schedule-II,,Appendix II,
Common Goldeneye,Bucephala clangula,comgol,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Common Goldeneye,Bucephala clangula,Common Goldeneye,Bucephala clangula,Least Concern,Schedule-II,,Appendix II,
Smew,Mergellus albellus,smew,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Smew,Mergellus albellus,Smew,Mergellus albellus,Least Concern,Schedule-II,,Appendix II,
Common Merganser,Mergus merganser,commer,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,None,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Common Merganser,Mergus merganser,Goosander,Mergus merganser,Least Concern,Schedule-II,,Appendix II,50
Red-breasted Merganser,Mergus serrator,rebmer,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,24 hour,24 hour,Vertebrate & Carrion,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Red-breasted Merganser,Mergus serrator,Red-breasted Merganser,Mergus serrator,Least Concern,Schedule-II,,Appendix II,
White-headed Duck,Oxyura leucocephala,whhduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,White-headed Duck,Oxyura leucocephala,White-headed Duck,Oxyura leucocephala,Endangered,Schedule-I,Appendix II,Appendix I,
Nicobar Megapode,Megapodius nicobariensis,nicscr1,Galliformes,Megapodiidae (Megapodes),High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Invertebrate,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Megapode,Megapodius nicobariensis,Nicobar Scrubfowl,Megapodius nicobariensis,Vulnerable,Schedule-I,,,
Hill Partridge,Arborophila torqueola,hilpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Forest,Resident,NA,NA,NA,Hill Partridge,Arborophila torqueola,Hill Partridge,Arborophila torqueola,Least Concern,Schedule-II,,,
Chestnut-breasted Partridge,Arborophila mandellii,chbpar2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,Yes,Yes,Eastern Himalayas,Forest,Resident,NA,NA,NA,Chestnut-breasted Partridge,Arborophila mandellii,Chestnut-breasted Partridge,Arborophila mandellii,Near Threatened,Schedule-I,,,
Rufous-throated Partridge,Arborophila rufogularis,rutpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,1,NA,NA,Rufous-throated Partridge,Arborophila rufogularis,Rufous-throated Partridge,Arborophila rufogularis,Least Concern,Schedule-II,,,
White-cheeked Partridge,Arborophila atrogularis,whcpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,Yes,Eastern Himalayas,Forest,Resident,NA,NA,NA,White-cheeked Partridge,Arborophila atrogularis,White-cheeked Partridge,Arborophila atrogularis,Near Threatened,Schedule-II,,,
Snow Partridge,Lerwa lerwa,snopar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Snow Partridge,Lerwa lerwa,Snow Partridge,Lerwa lerwa,Least Concern,Schedule-II,,,
Blood Pheasant,Ithaginis cruentus,blophe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Forest,Resident & Altitudinal Migrant,1,NA,NA,Blood Pheasant,Ithaginis cruentus,Blood Pheasant,Ithaginis cruentus,Least Concern,Schedule-I,Appendix II,,
Western Tragopan,Tragopan melanocephalus,westra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Western Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Western Tragopan,Tragopan melanocephalus,Western Tragopan,Tragopan melanocephalus,Vulnerable,Schedule-I,Appendix I,,
Satyr Tragopan,Tragopan satyra,sattra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Indian Subcontinent,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Satyr Tragopan,Tragopan satyra,Satyr Tragopan,Tragopan satyra,Near Threatened,Schedule-I,,,
Blyth's Tragopan,Tragopan blythii,blytra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,Yes,Eastern Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Blyth's Tragopan,Tragopan blythii,Blyth's Tragopan,Tragopan blythii,Vulnerable,Schedule-I,Appendix I,,
Temminck's Tragopan,Tragopan temminckii,temtra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Forest,Resident,1,NA,NA,Temminck's Tragopan,Tragopan temminckii,Temminck's Tragopan,Tragopan temminckii,Least Concern,Schedule-I,,,
Himalayan Monal,Lophophorus impejanus,himmon1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Monal,Lophophorus impejanus,Himalayan Monal,Lophophorus impejanus,Least Concern,Schedule-I,Appendix I,,
Sclater's Monal,Lophophorus sclateri,sclmon1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Eastern Himalayas,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Sclater's Monal,Lophophorus sclateri,Sclater's Monal,Lophophorus sclateri,Vulnerable,Schedule-I,Appendix I,,
Koklass Pheasant,Pucrasia macrolopha,kokphe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,1,NA,NA,Koklass Pheasant,Pucrasia macrolopha,Koklass Pheasant,Pucrasia macrolopha,Least Concern,Schedule-II,,,
Tibetan Partridge,Perdix hodgsoniae,tibpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Partridge,Perdix hodgsoniae,Tibetan Partridge,Perdix hodgsoniae,Least Concern,Schedule-I,,,
Hume's Pheasant,Syrmaticus humiae,humphe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Forest,Resident,NA,NA,NA,Mrs Hume's Pheasant,Syrmaticus humiae,Mrs Hume's Pheasant,Syrmaticus humiae,Near Threatened,Schedule-I,Appendix I,,
Cheer Pheasant,Catreus wallichii,chephe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Western Himalayas,Forest,Resident,NA,NA,NA,Cheer Pheasant,Catreus wallichii,Cheer Pheasant,Catreus wallichii,Vulnerable,Schedule-I,Appendix I,,
Kalij Pheasant,Lophura leucomelanos,kalphe,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,NA,NA,NA,Kalij Pheasant,Lophura leucomelanos,Kalij Pheasant,Lophura leucomelanos,Least Concern,Schedule-I,,,
Indian Peafowl,Pavo cristatus,compea,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Strong Increase,Moderate Increase,Very Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,None,Resident,NA,NA,NA,Indian Peafowl,Pavo cristatus,Indian Peafowl,Pavo cristatus,Least Concern,Schedule-I,,,
Green Peafowl,Pavo muticus,grepea1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Uncertain,NA,1,NA,Green Peafowl,Pavo muticus,Green Peafowl,Pavo muticus,Endangered,Schedule-I,Appendix II,,
Red Spurfowl,Galloperdix spadicea,redspu1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest,Resident,NA,NA,NA,Red Spurfowl,Galloperdix spadicea,Red Spurfowl,Galloperdix spadicea,Least Concern,Schedule-II,,,
Painted Spurfowl,Galloperdix lunulata,paispu1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Uncertain,Moderate Decline,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest & Plantation,Resident,NA,NA,NA,Painted Spurfowl,Galloperdix lunulata,Painted Spurfowl,Galloperdix lunulata,Least Concern,Schedule-II,,,
Gray Peacock-Pheasant,Polyplectron bicalcaratum,grypep2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,1,NA,NA,Grey Peacock Pheasant,Polyplectron bicalcaratum,Grey Peacock-pheasant,Polyplectron bicalcaratum,Least Concern,Schedule-I,Appendix II,,
Mountain Bamboo-Partridge,Bambusicola fytchii,mobpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,NA,NA,NA,Mountain Bamboo Partridge,Bambusicola fytchii,Mountain Bamboo-partridge,Bambusicola fytchii,Least Concern,Schedule-I,,,
Red Junglefowl,Gallus gallus,redjun,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,NA,NA,NA,Red Junglefowl,Gallus gallus,Red Junglefowl,Gallus gallus,Least Concern,Schedule-II,,,
Gray Junglefowl,Gallus sonneratii,grejun2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest,Resident,NA,NA,NA,Grey Junglefowl,Gallus sonneratii,Grey Junglefowl,Gallus sonneratii,Least Concern,Schedule-I,Appendix II,,
Gray Francolin,Ortygornis pondicerianus,gryfra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Open Habitat,Resident,NA,NA,NA,Grey Francolin,Ortygornis pondicerianus,Grey Francolin,Ortygornis pondicerianus,Least Concern,Schedule-II,,,
Swamp Francolin,Ortygornis gularis,swafra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Wetland,Resident,NA,NA,NA,Swamp Francolin,Ortygornis gularis,Swamp Francolin,Ortygornis gularis,Vulnerable,Schedule-I,,,
Chinese Francolin,Francolinus pintadeanus,chifra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Forest,Resident,NA,1,NA,Chinese Francolin,Francolinus pintadeanus,Chinese Francolin,Francolinus pintadeanus,Least Concern,Schedule-II,,,
