"GRID.G1","LISTS"
"2125","1"
"2126","1"
"2127","1"
"2128","1"
"2129","1"
"2130","1"
"2131","1"
"2132","1"
"2188","1"
"2189","1"
"2230","1"
"2235","0"
"2245","1"
"2246","1"
"2247","1"
"2248","1"
"2249","1"
"2250","1"
"2251","1"
"2252","1"
"2253","1"
"2254","1"
"2255","1"
"2256","1"
"2257","1"
"2258","1"
"2259","1"
"2260","1"
"2261","1"
"2262","1"
"2318","1"
"2319","1"
"2358","1"
"2359","1"
"2365","0"
"2375","1"
"2376","1"
"2377","1"
"2378","1"
"2379","1"
"2380","1"
"2381","1"
"2382","1"
"2383","1"
"2384","1"
"2385","1"
"2386","1"
"2387","1"
"2388","1"
"2389","1"
"2390","1"
"2391","1"
"2392","1"
"2447","1"
"2448","0"
"2449","1"
"2487","0"
"2488","1"
"2491","1"
"2496","0"
"2497","0"
"2504","1"
"2505","1"
"2506","1"
"2507","1"
"2508","1"
"2509","1"
"2510","1"
"2511","1"
"2512","1"
"2513","1"
"2514","1"
"2515","1"
"2516","1"
"2517","1"
"2518","1"
"2519","1"
"2520","1"
"2521","1"
"2522","1"
"2579","0"
"2580","0"
"2621","0"
"2622","0"
"2626","0"
"2627","0"
"2634","1"
"2635","1"
"2636","1"
"2637","1"
"2638","1"
"2639","1"
"2640","1"
"2641","1"
"2642","1"
"2643","1"
"2644","1"
"2645","1"
"2646","1"
"2647","1"
"2648","1"
"2649","1"
"2650","1"
"2651","1"
"2652","1"
"2709","1"
"2710","1"
"2748","1"
"2751","1"
"2752","1"
"2763","1"
"2764","1"
"2765","1"
"2766","1"
"2767","1"
"2768","1"
"2769","1"
"2770","1"
"2771","1"
"2772","1"
"2773","1"
"2774","1"
"2775","1"
"2776","1"
"2777","1"
"2778","1"
"2779","1"
"2780","1"
"2781","1"
"2782","1"
"2837","0"
"2838","0"
"2839","1"
"2840","1"
"2876","0"
"2877","0"
"2892","1"
"2893","1"
"2894","1"
"2895","1"
"2896","1"
"2897","1"
"2898","1"
"2899","1"
"2900","1"
"2901","1"
"2902","1"
"2903","1"
"2904","1"
"2905","1"
"2906","1"
"2907","1"
"2908","1"
"2909","1"
"2910","1"
"2911","1"
"2912","1"
"2969","1"
"2970","1"
"2971","1"
"3006","0"
"3007","0"
"3021","1"
"3022","1"
"3023","1"
"3024","1"
"3025","1"
"3026","1"
"3027","1"
"3028","1"
"3029","1"
"3030","1"
"3031","1"
"3032","1"
"3033","1"
"3034","1"
"3035","1"
"3036","1"
"3037","1"
"3038","1"
"3039","1"
"3040","1"
"3041","1"
"3042","1"
"3043","1"
"3099","1"
"3100","1"
"3101","1"
"3137","0"
"3151","1"
"3152","1"
"3153","1"
"3154","1"
"3155","1"
"3156","1"
"3157","1"
"3158","1"
"3159","1"
"3160","1"
"3161","1"
"3162","1"
"3163","1"
"3164","1"
"3165","1"
"3166","1"
"3167","1"
"3168","1"
"3169","1"
"3170","1"
"3171","1"
"3172","1"
"3173","1"
"3229","1"
"3230","1"
"3231","1"
"3235","1"
"3267","0"
"3280","1"
"3281","1"
"3282","1"
"3283","1"
"3284","1"
"3285","1"
"3286","1"
"3287","1"
"3288","1"
"3289","1"
"3290","1"
"3291","1"
"3292","1"
"3293","1"
"3294","1"
"3295","1"
"3296","1"
"3297","1"
"3298","1"
"3299","1"
"3300","1"
"3301","1"
"3302","1"
"3303","1"
"3304","1"
"3359","0"
"3360","1"
"3361","1"
"3410","1"
"3411","1"
"3412","1"
"3413","1"
"3414","1"
"3415","1"
"3416","1"
"3417","1"
"3418","1"
"3419","1"
"3420","1"
"3421","1"
"3422","1"
"3423","1"
"3424","1"
"3425","1"
"3426","1"
"3427","1"
"3428","1"
"3429","1"
"3430","1"
"3431","1"
"3432","1"
"3433","1"
"3434","1"
"3489","0"
"3490","1"
"3491","1"
"3540","1"
"3541","1"
"3542","1"
"3543","1"
"3544","1"
"3545","1"
"3546","1"
"3547","1"
"3548","1"
"3549","1"
"3550","1"
"3551","1"
"3552","1"
"3553","1"
"3554","1"
"3555","1"
"3556","1"
"3557","1"
"3558","1"
"3559","1"
"3560","1"
"3561","1"
"3562","1"
"3563","1"
"3564","1"
"3619","1"
"3620","1"
"3621","1"
"3670","1"
"3671","1"
"3672","1"
"3673","1"
"3674","1"
"3675","1"
"3676","1"
"3677","1"
"3678","1"
"3679","1"
"3680","1"
"3681","1"
"3682","1"
"3683","1"
"3684","1"
"3685","1"
"3686","1"
"3687","1"
"3688","1"
"3689","1"
"3690","1"
"3691","1"
"3692","1"
"3693","1"
"3694","1"
"3695","0"
"3749","1"
"3750","1"
"3751","1"
"3799","1"
"3800","1"
"3801","1"
"3802","1"
"3803","1"
"3804","1"
"3805","1"
"3806","1"
"3807","1"
"3808","1"
"3809","1"
"3810","1"
"3811","1"
"3812","1"
"3813","1"
"3814","1"
"3815","1"
"3816","1"
"3817","1"
"3818","0"
"3819","1"
"3820","1"
"3821","1"
"3822","1"
"3823","1"
"3824","1"
"3825","1"
"3880","1"
"3881","1"
"3886","1"
"3929","1"
"3930","1"
"3931","1"
"3932","1"
"3933","1"
"3934","1"
"3935","1"
"3936","1"
"3937","1"
"3938","1"
"3939","1"
"3940","1"
"3941","1"
"3942","1"
"3943","1"
"3944","1"
"3945","1"
"3946","1"
"3947","1"
"3948","1"
"3949","1"
"3950","1"
"3951","1"
"3952","1"
"3953","1"
"3954","1"
"4010","0"
"4011","1"
"4059","1"
"4060","1"
"4061","1"
"4062","1"
"4063","1"
"4064","1"
"4065","1"
"4066","1"
"4067","1"
"4068","1"
"4069","1"
"4070","1"
"4071","1"
"4072","1"
"4073","1"
"4074","1"
"4075","1"
"4076","1"
"4077","1"
"4078","1"
"4079","1"
"4080","1"
"4081","1"
"4082","1"
"4083","1"
"4084","1"
"4188","1"
"4189","1"
"4190","1"
"4191","1"
"4192","1"
"4193","1"
"4194","1"
"4195","1"
"4196","1"
"4197","1"
"4198","1"
"4199","1"
"4200","1"
"4201","1"
"4202","1"
"4203","1"
"4204","1"
"4205","1"
"4206","1"
"4207","1"
"4208","1"
"4209","1"
"4210","1"
"4211","1"
"4212","1"
"4213","1"
"4214","0"
"4318","1"
"4319","1"
"4320","1"
"4321","1"
"4322","1"
"4323","1"
"4324","1"
"4325","1"
"4326","1"
"4327","1"
"4328","1"
"4329","1"
"4330","1"
"4331","1"
"4332","1"
"4333","1"
"4334","1"
"4335","1"
"4336","1"
"4337","1"
"4338","1"
"4339","1"
"4340","1"
"4341","1"
"4342","1"
"4343","1"
"4344","1"
"4448","1"
"4449","1"
"4450","1"
"4451","1"
"4452","1"
"4453","1"
"4454","1"
"4455","1"
"4456","1"
"4457","1"
"4458","1"
"4459","1"
"4460","1"
"4461","1"
"4462","1"
"4463","1"
"4464","1"
"4465","1"
"4466","1"
"4467","1"
"4468","1"
"4469","1"
"4470","1"
"4471","1"
"4472","1"
"4473","1"
"4474","1"
"4577","1"
"4578","1"
"4579","1"
"4580","1"
"4581","1"
"4582","1"
"4583","1"
"4584","1"
"4585","1"
"4586","1"
"4587","1"
"4588","1"
"4589","1"
"4590","1"
"4591","1"
"4592","1"
"4593","1"
"4594","0"
"4595","1"
"4596","1"
"4597","1"
"4598","1"
"4599","1"
"4600","1"
"4601","1"
"4602","1"
"4603","1"
"4604","0"
"4706","1"
"4707","1"
"4708","1"
"4709","1"
"4710","1"
"4711","1"
"4712","1"
"4713","1"
"4714","1"
"4715","1"
"4716","1"
"4717","1"
"4718","1"
"4719","1"
"4720","1"
"4721","1"
"4722","1"
"4723","1"
"4724","1"
"4725","1"
"4726","1"
"4727","1"
"4728","1"
"4729","1"
"4730","1"
"4731","0"
"4732","0"
"4733","1"
"4836","1"
"4837","1"
"4838","1"
"4839","1"
"4840","1"
"4841","1"
"4842","1"
"4843","1"
"4844","1"
"4845","1"
"4846","1"
"4847","1"
"4848","1"
"4849","1"
"4850","1"
"4851","1"
"4852","1"
"4853","1"
"4854","1"
"4855","1"
"4856","1"
"4857","1"
"4858","1"
"4859","1"
"4860","0"
"4861","1"
"4862","1"
"4863","1"
"4965","1"
"4966","1"
"4967","1"
"4968","1"
"4969","1"
"4970","1"
"4971","1"
"4972","1"
"4973","1"
"4974","1"
"4975","1"
"4976","1"
"4977","1"
"4978","1"
"4979","1"
"4980","1"
"4981","1"
"4982","1"
"4983","1"
"4984","1"
"4985","1"
"4986","1"
"4987","1"
"4988","1"
"4989","1"
"4990","0"
"4991","0"
"4992","0"
"4993","1"
"4994","1"
"5095","1"
"5096","1"
"5097","1"
"5098","1"
"5099","1"
"5100","1"
"5101","1"
"5102","1"
"5103","1"
"5104","1"
"5105","1"
"5106","1"
"5107","1"
"5108","1"
"5109","1"
"5110","1"
"5111","1"
"5112","1"
"5113","0"
"5114","1"
"5115","1"
"5116","1"
"5117","1"
"5118","1"
"5119","1"
"5120","1"
"5121","1"
"5122","1"
"5123","1"
"5124","1"
"5125","0"
"5127","1"
"5224","1"
"5225","1"
"5226","1"
"5227","1"
"5228","1"
"5229","1"
"5230","1"
"5231","1"
"5232","1"
"5233","1"
"5234","1"
"5235","1"
"5236","1"
"5237","1"
"5238","1"
"5239","1"
"5240","1"
"5241","1"
"5242","1"
"5243","0"
"5244","1"
"5245","1"
"5246","1"
"5247","1"
"5248","1"
"5249","1"
"5250","1"
"5251","1"
"5252","1"
"5253","1"
"5254","1"
"5255","1"
"5256","1"
"5257","1"
"5258","1"
"5354","1"
"5355","1"
"5356","1"
"5357","1"
"5358","1"
"5359","1"
"5360","1"
"5361","1"
"5362","1"
"5363","1"
"5364","1"
"5365","1"
"5366","1"
"5367","1"
"5368","1"
"5369","1"
"5370","1"
"5371","1"
"5372","1"
"5373","1"
"5374","1"
"5375","0"
"5376","1"
"5377","1"
"5378","1"
"5379","1"
"5380","0"
"5381","1"
"5382","1"
"5383","1"
"5384","1"
"5385","1"
"5386","1"
"5387","1"
"5388","1"
"5483","0"
"5484","1"
"5485","1"
"5486","1"
"5487","1"
"5488","1"
"5489","1"
"5490","1"
"5491","1"
"5492","1"
"5493","1"
"5494","1"
"5495","1"
"5496","1"
"5497","1"
"5498","1"
"5499","1"
"5500","1"
"5501","1"
"5502","1"
"5503","1"
"5504","1"
"5505","0"
"5506","1"
"5507","1"
"5508","1"
"5509","1"
"5510","0"
"5511","0"
"5512","1"
"5513","1"
"5514","1"
"5515","1"
"5516","1"
"5517","1"
"5518","1"
"5519","1"
"5520","1"
"5521","1"
"5522","1"
"5613","1"
"5614","1"
"5615","1"
"5616","1"
"5617","1"
"5618","1"
"5619","1"
"5620","1"
"5621","1"
"5622","1"
"5623","1"
"5624","1"
"5625","1"
"5626","1"
"5627","1"
"5628","1"
"5629","1"
"5630","1"
"5631","1"
"5632","1"
"5633","1"
"5634","1"
"5635","1"
"5636","1"
"5637","1"
"5638","1"
"5639","1"
"5640","1"
"5641","1"
"5642","1"
"5643","1"
"5644","1"
"5645","1"
"5646","1"
"5647","1"
"5648","1"
"5649","1"
"5650","1"
"5651","1"
"5652","1"
"5653","1"
"5743","1"
"5744","1"
"5745","1"
"5746","1"
"5747","1"
"5748","1"
"5749","1"
"5750","1"
"5751","1"
"5752","1"
"5753","1"
"5754","1"
"5755","1"
"5756","1"
"5757","1"
"5758","1"
"5759","1"
"5760","1"
"5761","1"
"5762","0"
"5763","1"
"5764","1"
"5765","1"
"5766","1"
"5767","1"
"5768","1"
"5769","1"
"5770","1"
"5771","1"
"5772","1"
"5773","1"
"5774","1"
"5775","1"
"5776","1"
"5777","1"
"5778","1"
"5779","1"
"5780","1"
"5781","1"
"5782","1"
"5783","1"
"5784","0"
"5873","1"
"5874","1"
"5875","1"
"5876","1"
"5877","1"
"5878","1"
"5879","1"
"5880","1"
"5881","0"
"5882","1"
"5883","1"
"5884","1"
"5885","1"
"5886","1"
"5887","1"
"5888","1"
"5889","1"
"5890","1"
"5891","1"
"5892","0"
"5893","1"
"5894","0"
"5895","1"
"5896","1"
"5897","1"
"5898","1"
"5899","1"
"5900","1"
"5901","1"
"5902","0"
"5903","1"
"5904","1"
"5905","1"
"5906","0"
"5907","1"
"5908","1"
"5909","1"
"5910","1"
"5911","1"
"5912","1"
"5913","1"
"5914","0"
"6003","1"
"6004","1"
"6005","1"
"6006","1"
"6007","1"
"6008","1"
"6009","1"
"6010","1"
"6011","1"
"6012","1"
"6013","0"
"6014","1"
"6015","1"
"6016","1"
"6017","1"
"6018","1"
"6019","1"
"6020","1"
"6021","1"
"6022","1"
"6023","1"
"6024","1"
"6025","1"
"6026","1"
"6027","1"
"6028","1"
"6029","1"
"6030","1"
"6031","1"
"6032","1"
"6033","1"
"6034","1"
"6035","1"
"6036","1"
"6037","1"
"6038","1"
"6039","1"
"6040","1"
"6041","1"
"6042","1"
"6043","1"
"6044","1"
"6045","1"
"6133","1"
"6134","1"
"6135","1"
"6136","1"
"6137","1"
"6138","1"
"6139","1"
"6140","1"
"6141","1"
"6142","1"
"6143","1"
"6144","1"
"6145","1"
"6146","1"
"6147","1"
"6148","1"
"6149","1"
"6150","1"
"6151","1"
"6152","1"
"6153","1"
"6154","1"
"6155","1"
"6156","1"
"6157","1"
"6158","1"
"6159","1"
"6160","1"
"6161","1"
"6162","1"
"6163","1"
"6164","1"
"6165","0"
"6166","1"
"6167","0"
"6168","1"
"6169","1"
"6170","1"
"6171","1"
"6172","1"
"6173","1"
"6174","1"
"6175","1"
"6176","1"
"6177","1"
"6262","1"
"6263","1"
"6264","1"
"6265","1"
"6266","1"
"6267","1"
"6268","1"
"6269","1"
"6270","1"
"6271","1"
"6272","1"
"6273","1"
"6274","1"
"6275","1"
"6276","1"
"6277","1"
"6278","1"
"6279","1"
"6280","1"
"6281","1"
"6282","1"
"6283","1"
"6284","1"
"6285","1"
"6286","1"
"6287","1"
"6288","1"
"6289","1"
"6290","1"
"6291","1"
"6292","1"
"6293","1"
"6294","1"
"6295","1"
"6296","1"
"6297","1"
"6298","1"
"6299","1"
"6300","1"
"6301","1"
"6302","1"
"6303","1"
"6304","1"
"6305","1"
"6306","1"
"6307","1"
"6308","1"
"6392","1"
"6393","1"
"6394","1"
"6395","1"
"6396","1"
"6397","1"
"6398","1"
"6399","1"
"6400","1"
"6401","1"
"6402","1"
"6403","1"
"6404","1"
"6405","1"
"6406","1"
"6407","1"
"6408","1"
"6409","1"
"6410","1"
"6411","1"
"6412","1"
"6413","1"
"6414","1"
"6415","1"
"6416","1"
"6417","1"
"6418","1"
"6419","0"
"6420","1"
"6421","1"
"6422","1"
"6423","1"
"6424","1"
"6425","0"
"6426","1"
"6427","1"
"6428","0"
"6429","1"
"6430","1"
"6431","1"
"6432","1"
"6433","1"
"6434","1"
"6435","1"
"6436","1"
"6437","1"
"6438","1"
"6439","1"
"6522","1"
"6523","1"
"6524","1"
"6525","1"
"6526","1"
"6527","1"
"6528","1"
"6529","1"
"6530","1"
"6531","1"
"6532","1"
"6533","1"
"6534","1"
"6535","1"
"6536","1"
"6537","1"
"6538","1"
"6539","1"
"6540","1"
"6541","1"
"6542","1"
"6543","1"
"6544","1"
"6545","1"
"6546","1"
"6547","1"
"6548","1"
"6549","1"
"6550","1"
"6551","1"
"6552","1"
"6553","1"
"6554","1"
"6555","1"
"6556","1"
"6557","1"
"6558","0"
"6559","0"
"6560","1"
"6561","0"
"6562","1"
"6563","0"
"6564","1"
"6565","1"
"6566","1"
"6567","1"
"6568","1"
"6569","1"
"6570","1"
"6571","0"
"6651","1"
"6652","1"
"6653","1"
"6654","1"
"6655","1"
"6656","1"
"6657","1"
"6658","1"
"6659","1"
"6660","1"
"6661","1"
"6662","1"
"6663","1"
"6664","1"
"6665","1"
"6666","1"
"6667","1"
"6668","1"
"6669","1"
"6670","1"
"6671","1"
"6672","1"
"6673","1"
"6674","1"
"6675","1"
"6676","1"
"6677","1"
"6678","1"
"6679","1"
"6680","0"
"6681","1"
"6682","1"
"6683","1"
"6684","1"
"6685","1"
"6686","1"
"6687","0"
"6688","0"
"6689","0"
"6690","1"
"6691","1"
"6692","1"
"6693","0"
"6694","0"
"6695","1"
"6696","1"
"6697","1"
"6698","1"
"6699","1"
"6700","1"
"6701","1"
"6702","0"
"6781","1"
"6782","1"
"6783","1"
"6784","1"
"6785","1"
"6786","1"
"6787","1"
"6788","1"
"6789","1"
"6790","1"
"6791","1"
"6792","1"
"6793","1"
"6794","1"
"6795","1"
"6796","1"
"6797","1"
"6798","1"
"6799","1"
"6800","0"
"6801","1"
"6802","0"
"6803","0"
"6804","1"
"6805","1"
"6806","1"
"6807","0"
"6808","0"
"6809","1"
"6810","1"
"6811","1"
"6812","1"
"6813","0"
"6814","0"
"6815","1"
"6816","1"
"6817","0"
"6818","1"
"6819","1"
"6820","1"
"6821","1"
"6822","1"
"6823","1"
"6824","1"
"6825","1"
"6826","1"
"6827","1"
"6828","1"
"6829","1"
"6830","1"
"6831","1"
"6832","1"
"6833","0"
"6911","1"
"6912","1"
"6913","1"
"6914","1"
"6915","1"
"6916","1"
"6917","1"
"6918","1"
"6919","1"
"6920","1"
"6921","1"
"6922","1"
"6923","1"
"6924","1"
"6925","1"
"6926","1"
"6927","1"
"6928","1"
"6929","1"
"6930","0"
"6931","1"
"6932","1"
"6933","1"
"6934","1"
"6935","1"
"6936","1"
"6937","1"
"6938","1"
"6939","0"
"6940","1"
"6941","1"
"6942","1"
"6943","1"
"6944","1"
"6945","1"
"6946","1"
"6947","1"
"6948","0"
"6949","1"
"6950","0"
"6951","1"
"6952","1"
"6953","1"
"6954","1"
"6955","1"
"6956","1"
"6957","1"
"6958","1"
"6959","1"
"6960","1"
"6961","1"
"6962","1"
"6963","1"
"6964","0"
"7041","1"
"7042","1"
"7043","1"
"7044","1"
"7045","1"
"7046","1"
"7047","1"
"7048","1"
"7049","1"
"7050","1"
"7051","1"
"7052","1"
"7053","1"
"7054","1"
"7055","1"
"7056","0"
"7057","1"
"7058","1"
"7059","1"
"7060","0"
"7061","1"
"7062","1"
"7063","1"
"7064","1"
"7065","1"
"7066","1"
"7067","1"
"7068","1"
"7069","1"
"7070","1"
"7071","1"
"7072","1"
"7073","1"
"7074","1"
"7075","0"
"7076","0"
"7077","1"
"7078","1"
"7079","1"
"7080","1"
"7081","1"
"7082","1"
"7083","1"
"7084","1"
"7085","1"
"7086","0"
"7087","1"
"7088","1"
"7089","0"
"7090","1"
"7091","1"
"7092","0"
"7093","1"
"7094","1"
"7171","1"
"7172","1"
"7173","1"
"7174","1"
"7175","1"
"7176","1"
"7177","1"
"7178","1"
"7179","1"
"7180","1"
"7181","1"
"7182","1"
"7183","1"
"7184","1"
"7185","0"
"7186","1"
"7187","1"
"7188","1"
"7189","1"
"7190","1"
"7191","1"
"7192","1"
"7193","1"
"7194","1"
"7195","1"
"7196","1"
"7197","1"
"7198","1"
"7199","1"
"7200","1"
"7201","1"
"7202","1"
"7203","1"
"7204","1"
"7205","0"
"7206","0"
"7207","1"
"7208","0"
"7209","1"
"7210","1"
"7211","1"
"7212","1"
"7213","1"
"7214","1"
"7215","0"
"7216","0"
"7217","1"
"7218","1"
"7219","1"
"7220","1"
"7221","1"
"7222","1"
"7223","1"
"7224","1"
"7225","1"
"7301","1"
"7302","1"
"7303","1"
"7304","1"
"7305","1"
"7306","1"
"7307","1"
"7308","1"
"7309","1"
"7310","1"
"7311","1"
"7312","1"
"7313","1"
"7314","1"
"7315","0"
"7316","0"
"7317","1"
"7318","1"
"7319","1"
"7320","1"
"7321","1"
"7322","1"
"7323","1"
"7324","1"
"7325","0"
"7326","1"
"7327","1"
"7328","1"
"7329","1"
"7330","1"
"7331","1"
"7332","1"
"7333","1"
"7334","1"
"7335","1"
"7336","1"
"7337","0"
"7338","0"
"7339","1"
"7340","1"
"7341","1"
"7342","1"
"7343","1"
"7344","1"
"7345","1"
"7346","1"
"7347","0"
"7348","1"
"7349","1"
"7350","0"
"7351","0"
"7352","0"
"7353","1"
"7354","1"
"7355","1"
"7356","1"
"7357","0"
"7430","1"
"7431","1"
"7432","1"
"7433","1"
"7434","1"
"7435","1"
"7436","1"
"7437","1"
"7438","1"
"7439","1"
"7440","1"
"7441","1"
"7442","1"
"7443","1"
"7444","1"
"7445","1"
"7446","1"
"7447","0"
"7448","1"
"7449","1"
"7450","1"
"7451","1"
"7452","1"
"7453","1"
"7454","1"
"7455","1"
"7456","1"
"7457","1"
"7458","1"
"7459","1"
"7460","1"
"7461","1"
"7462","1"
"7463","0"
"7464","0"
"7465","0"
"7466","0"
"7467","0"
"7468","1"
"7469","1"
"7470","1"
"7471","0"
"7472","0"
"7473","0"
"7474","1"
"7475","1"
"7476","0"
"7477","1"
"7478","1"
"7479","1"
"7480","0"
"7481","0"
"7482","0"
"7483","0"
"7484","1"
"7485","1"
"7486","1"
"7487","1"
"7488","1"
"7489","1"
"7560","1"
"7561","1"
"7562","1"
"7563","1"
"7564","1"
"7565","1"
"7566","1"
"7567","1"
"7568","1"
"7569","1"
"7570","1"
"7571","1"
"7572","1"
"7573","1"
"7574","1"
"7575","1"
"7576","1"
"7577","1"
"7578","1"
"7579","1"
"7580","1"
"7581","1"
"7582","1"
"7583","1"
"7584","1"
"7585","1"
"7586","1"
"7587","1"
"7588","1"
"7589","1"
"7590","1"
"7591","1"
"7592","0"
"7593","1"
"7594","0"
"7595","0"
"7596","0"
"7597","0"
"7598","1"
"7599","1"
"7600","1"
"7601","0"
"7602","0"
"7603","0"
"7604","1"
"7605","1"
"7606","1"
"7607","1"
"7608","1"
"7609","1"
"7610","0"
"7611","1"
"7612","1"
"7613","1"
"7614","1"
"7615","1"
"7616","1"
"7617","1"
"7618","1"
"7619","1"
"7620","1"
"7621","1"
"7622","0"
"7691","1"
"7692","1"
"7693","1"
"7694","1"
"7695","1"
"7696","1"
"7697","1"
"7698","1"
"7699","1"
"7700","1"
"7701","1"
"7702","1"
"7703","1"
"7704","1"
"7705","0"
"7706","1"
"7707","1"
"7708","1"
"7709","1"
"7710","1"
"7711","1"
"7712","1"
"7713","1"
"7714","1"
"7715","1"
"7716","1"
"7717","1"
"7718","1"
"7719","1"
"7720","1"
"7721","1"
"7722","1"
"7723","1"
"7724","1"
"7725","1"
"7726","1"
"7727","1"
"7728","1"
"7729","1"
"7730","1"
"7731","1"
"7732","1"
"7733","1"
"7734","1"
"7735","1"
"7736","0"
"7737","1"
"7738","1"
"7739","1"
"7740","0"
"7741","0"
"7742","0"
"7743","0"
"7744","0"
"7745","0"
"7746","1"
"7747","1"
"7748","1"
"7749","1"
"7750","1"
"7751","1"
"7752","1"
"7753","1"
"7821","1"
"7822","1"
"7823","1"
"7824","1"
"7825","1"
"7826","1"
"7827","1"
"7828","1"
"7829","1"
"7830","0"
"7831","1"
"7832","1"
"7833","0"
"7834","1"
"7835","1"
"7836","1"
"7837","1"
"7838","1"
"7839","1"
"7840","1"
"7841","1"
"7842","1"
"7843","1"
"7844","1"
"7845","1"
"7846","1"
"7847","1"
"7848","1"
"7849","1"
"7850","1"
"7851","1"
"7852","1"
"7853","1"
"7854","1"
"7855","1"
"7856","0"
"7857","1"
"7858","1"
"7859","1"
"7860","1"
"7861","1"
"7862","1"
"7863","1"
"7864","1"
"7865","1"
"7866","1"
"7867","1"
"7868","1"
"7869","1"
"7870","0"
"7871","0"
"7872","1"
"7873","1"
"7874","1"
"7875","1"
"7876","1"
"7877","1"
"7878","1"
"7879","1"
"7880","1"
"7881","1"
"7882","1"
"7883","1"
"7942","1"
"7943","1"
"7951","1"
"7952","1"
"7953","1"
"7954","1"
"7955","1"
"7956","1"
"7957","1"
"7958","1"
"7959","1"
"7960","1"
"7961","1"
"7962","1"
"7963","1"
"7964","1"
"7965","1"
"7966","1"
"7967","1"
"7968","1"
"7969","1"
"7970","1"
"7971","1"
"7972","1"
"7973","1"
"7974","1"
"7975","1"
"7976","1"
"7977","1"
"7978","1"
"7979","1"
"7980","1"
"7981","1"
"7982","1"
"7983","1"
"7984","1"
"7985","1"
"7986","1"
"7987","1"
"7988","1"
"7989","1"
"7990","1"
"7991","1"
"7992","1"
"7993","1"
"7994","0"
"7995","1"
"7996","1"
"7997","0"
"7998","1"
"7999","1"
"8000","1"
"8001","1"
"8002","1"
"8003","1"
"8004","1"
"8005","1"
"8006","1"
"8007","1"
"8008","1"
"8009","1"
"8010","1"
"8011","1"
"8012","1"
"8013","1"
"8014","1"
"8070","1"
"8071","1"
"8072","1"
"8073","1"
"8074","1"
"8075","1"
"8081","1"
"8082","1"
"8083","1"
"8084","1"
"8085","1"
"8086","1"
"8087","1"
"8088","1"
"8089","1"
"8090","1"
"8091","1"
"8092","1"
"8093","1"
"8094","1"
"8095","1"
"8096","1"
"8097","1"
"8098","1"
"8099","1"
"8100","1"
"8101","1"
"8102","1"
"8103","1"
"8104","1"
"8105","1"
"8106","1"
"8107","1"
"8108","1"
"8109","1"
"8110","1"
"8111","1"
"8112","1"
"8113","1"
"8114","1"
"8115","1"
"8116","1"
"8117","1"
"8118","1"
"8119","1"
"8120","1"
"8121","1"
"8122","1"
"8123","1"
"8124","1"
"8125","1"
"8126","1"
"8127","1"
"8128","1"
"8129","1"
"8130","1"
"8131","1"
"8132","1"
"8133","1"
"8134","1"
"8135","1"
"8136","1"
"8137","1"
"8138","1"
"8139","1"
"8140","1"
"8141","1"
"8142","1"
"8143","1"
"8144","1"
"8145","0"
"8199","1"
"8200","1"
"8201","1"
"8202","1"
"8203","1"
"8204","1"
"8205","1"
"8206","1"
"8207","1"
"8208","1"
"8210","1"
"8211","1"
"8212","1"
"8213","1"
"8214","1"
"8215","1"
"8216","1"
"8217","1"
"8218","1"
"8219","1"
"8220","1"
"8221","1"
"8222","1"
"8223","1"
"8224","1"
