"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor",NA,"","X",26,NA,0.361538461538462,0.653846153846154,11.2692307692308,2.07870257669703
"Lesser Whistling-Duck","Dendrocygna javanica",NA,"X","X",109,0.00917431192660551,0.254587155963303,0.486238532110092,7.74311926605505,0.851307357175033
"Bar-headed Goose","Anser indicus",NA,"","X",16,NA,0.1640625,0.3125,6.625,2.35251036129493
"Graylag Goose","Anser anser",NA,"","",NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose","Anser albifrons",NA,"","",NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus",NA,"","",NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis",NA,"","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris",NA,"","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis",NA,"","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor",NA,"","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus",NA,"","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus",NA,"","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos",NA,"","X",29,NA,0.155172413793103,0.448275862068966,9.41379310344828,2.2000025943126
"Ruddy Shelduck","Tadorna ferruginea",NA,"","X",37,0.0540540540540541,0.206081081081081,0.432432432432432,8.21621621621622,1.59877389917505
"Common Shelduck","Tadorna tadorna",NA,"","",NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus",NA,"","X",57,0.0350877192982456,0.199561403508772,0.368421052631579,8.19298245614035,1.40699116219744
"Mandarin Duck","Aix galericulata",NA,"","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa",NA,"","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula",NA,"","X",27,0.0740740740740741,0.236111111111111,0.444444444444444,9.96296296296296,1.81949936702588
"Northern Shoveler","Spatula clypeata",NA,"","X",26,0.0769230769230769,0.240384615384615,0.384615384615385,10.0769230769231,2.0308565016213
"Gadwall","Mareca strepera",NA,"","X",17,0.0588235294117647,0.198529411764706,0.294117647058824,11.3529411764706,2.74081302816579
"Falcated Duck","Mareca falcata",NA,"","",NA,NA,NA,NA,NA,NA
"Eurasian Wigeon","Mareca penelope",NA,"","X",18,0.111111111111111,0.243055555555556,0.277777777777778,10.6111111111111,2.55080143186559
"Indian Spot-billed Duck","Anas poecilorhyncha",NA,"X","X",120,0.025,0.270833333333333,0.516666666666667,7.40833333333333,0.830358364245159
"Eastern Spot-billed Duck","Anas zonorhyncha",NA,"","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos",NA,"","",NA,NA,NA,NA,NA,NA
"Northern Pintail","Anas acuta",NA,"","X",48,0.0833333333333333,0.25,0.333333333333333,9.125,1.44207820141873
"Green-winged Teal","Anas crecca",NA,"","X",16,0.25,0.21875,0.125,11.875,2.41297016144005
"Andaman Teal","Anas albogularis",NA,"","",NA,NA,NA,NA,NA,NA
"Marbled Duck","Marmaronetta angustirostris",NA,"","",NA,NA,NA,NA,NA,NA
"Pink-headed Duck","Rhodonessa caryophyllacea",NA,"","",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata",NA,"","",NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina",NA,"","X",12,NA,0.21875,0.333333333333333,12.5,3.29475800371291
"Common Pochard","Aythya ferina",NA,"","X",14,0.0714285714285714,0.196428571428571,0.285714285714286,11.0714285714286,2.48657317484247
"Ferruginous Duck","Aythya nyroca",NA,"","X",NA,NA,NA,NA,NA,NA
"Baer's Pochard","Aythya baeri",NA,"","",NA,NA,NA,NA,NA,NA
"Tufted Duck","Aythya fuligula",NA,"","X",6,NA,0.333333333333333,0.333333333333333,7.83333333333333,4.39485052204408
"Greater Scaup","Aythya marila",NA,"","",NA,NA,NA,NA,NA,NA
"Long-tailed Duck","Clangula hyemalis",NA,"","",NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula",NA,"","",NA,NA,NA,NA,NA,NA
"Smew","Mergellus albellus",NA,"","",NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser",NA,"","",NA,NA,NA,NA,NA,NA
"Red-breasted Merganser","Mergus serrator",NA,"","",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala",NA,"","",NA,NA,NA,NA,NA,NA
