"eBird.English.Name.2025","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Abbott's Babbler",NA,NA,NA,NA
"Aberrant Bush Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Alexandrine Parakeet","Insufficient Data","Insufficient Data",NA,"Moderate"
"Alpine Accentor","Insufficient Data","Insufficient Data",NA,"Low"
"Alpine Swift","Insufficient Data","Insufficient Data",NA,"Low"
"Alpine Thrush","Insufficient Data","Insufficient Data",NA,"Low"
"Altai Accentor","Insufficient Data","Insufficient Data",NA,"Moderate"
"American Golden-Plover",NA,NA,NA,NA
"Amur Falcon",NA,NA,NA,NA
"Amur Paradise-Flycatcher",NA,NA,NA,NA
"Amur Stonechat",NA,NA,NA,NA
"Andaman Boobook",NA,NA,NA,NA
"Andaman Bulbul",NA,NA,NA,NA
"Andaman Coucal",NA,NA,NA,NA
"Andaman Crake",NA,NA,NA,NA
"Andaman Cuckoo-Dove",NA,NA,NA,NA
"Andaman Cuckooshrike",NA,NA,NA,NA
"Andaman Drongo",NA,NA,NA,NA
"Andaman Flowerpecker",NA,NA,NA,NA
"Andaman Green-Pigeon",NA,NA,NA,NA
"Andaman Masked-Owl",NA,NA,NA,NA
"Andaman Nightjar",NA,NA,NA,NA
"Andaman Scops-Owl",NA,NA,NA,NA
"Andaman Serpent-Eagle",NA,NA,NA,NA
"Andaman Shama",NA,NA,NA,NA
"Andaman Teal",NA,NA,NA,NA
"Andaman Treepie",NA,NA,NA,NA
"Andaman Wood-Pigeon",NA,NA,NA,NA
"Andaman Woodpecker",NA,NA,NA,NA
"Arctic Loon",NA,NA,NA,NA
"Arctic Tern",NA,NA,NA,NA
"Arctic Warbler",NA,NA,NA,NA
"Ashambu Laughingthrush",NA,NA,NA,NA
"Ashy Bulbul",NA,NA,NA,NA
"Ashy Drongo","Insufficient Data","Insufficient Data",NA,"Low"
"Ashy Minivet",NA,NA,NA,NA
"Ashy Prinia","Insufficient Data","Trend Inconclusive",NA,"Low"
"Ashy Wood-Pigeon",NA,NA,NA,NA
"Ashy Woodswallow",NA,NA,NA,NA
"Ashy-crowned Sparrow-Lark","Insufficient Data","Insufficient Data",NA,"Moderate"
"Ashy-headed Green-Pigeon",NA,NA,NA,NA
"Ashy-throated Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Barred Owlet","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Brown Flycatcher",NA,NA,NA,NA
"Asian Desert Warbler",NA,NA,NA,NA
"Asian Dowitcher",NA,NA,NA,NA
"Asian Emerald Cuckoo",NA,NA,NA,NA
"Asian Emerald Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Fairy-bluebird",NA,NA,NA,NA
"Asian Glossy Starling",NA,NA,NA,NA
"Asian Green Bee-eater","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Houbara",NA,NA,NA,NA
"Asian House-Martin","Insufficient Data","Insufficient Data",NA,"Moderate"
"Asian Koel","Insufficient Data","Trend Inconclusive",NA,"Low"
"Asian Openbill","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Palm Swift",NA,NA,NA,NA
"Asian Stubtail",NA,NA,NA,NA
"Asian Tit","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Woolly-necked Stork","Insufficient Data","Insufficient Data",NA,"Moderate"
"Assam Laughingthrush",NA,NA,NA,NA
"Australasian Grass-Owl",NA,NA,NA,NA
"Azure Tit",NA,NA,NA,NA
"Baer's Pochard",NA,NA,NA,NA
"Baikal Bush Warbler",NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA
"Baillon's Crake","Insufficient Data","Insufficient Data",NA,"Low"
"Banasura Laughingthrush",NA,NA,NA,NA
"Banded Bay Cuckoo",NA,NA,NA,NA
"Bank Myna","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Bank Swallow",NA,NA,NA,NA
"Bar-headed Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Bar-tailed Godwit",NA,NA,NA,NA
"Bar-tailed Treecreeper","Insufficient Data","Insufficient Data",NA,"Low"
"Bar-winged Flycatcher-shrike",NA,NA,NA,NA
"Bar-winged Wren-Babbler",NA,NA,NA,NA
"Barau's Petrel",NA,NA,NA,NA
"Barn Swallow","Insufficient Data","Insufficient Data",NA,"Low"
"Barred Buttonquail","Insufficient Data","Insufficient Data",NA,"Low"
"Barred Cuckoo-Dove",NA,NA,NA,NA
"Barred Warbler",NA,NA,NA,NA
"Bay Woodpecker",NA,NA,NA,NA
"Bay-backed Shrike","Insufficient Data","Insufficient Data",NA,"Low"
"Baya Weaver","Insufficient Data","Insufficient Data",NA,"Low"
"Beach Thick-knee",NA,NA,NA,NA
"Bearded Vulture","Insufficient Data","Insufficient Data",NA,"Moderate"
"Beautiful Nuthatch",NA,NA,NA,NA
"Beautiful Sibia",NA,NA,NA,NA
"Bengal Bushlark","Insufficient Data","Trend Inconclusive",NA,"Low"
"Bengal Florican",NA,NA,NA,NA
"Besra","Insufficient Data","Insufficient Data",NA,"Low"
"Bhutan Laughingthrush",NA,NA,NA,NA
"Bimaculated Lark",NA,NA,NA,NA
"Black Baza",NA,NA,NA,NA
"Black Bittern","Insufficient Data","Insufficient Data",NA,"Low"
"Black Bulbul","Insufficient Data","Insufficient Data",NA,"Low"
"Black Drongo","Insufficient Data","Insufficient Data",NA,"Low"
"Black Eagle","Insufficient Data","Insufficient Data",NA,"Low"
"Black Francolin","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black Kite","Insufficient Data","Insufficient Data",NA,"Low"
"Black Noddy",NA,NA,NA,NA
"Black Redstart","Insufficient Data","Insufficient Data",NA,"Low"
"Black Stork","Insufficient Data","Insufficient Data",NA,"Low"
"Black Tern",NA,NA,NA,NA
"Black-and-orange Flycatcher",NA,NA,NA,NA
"Black-and-yellow Grosbeak","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-backed Dwarf-Kingfisher",NA,NA,NA,NA
"Black-backed Forktail",NA,NA,NA,NA
"Black-bellied Plover",NA,NA,NA,NA
"Black-bellied Sandgrouse",NA,NA,NA,NA
"Black-bellied Storm-Petrel",NA,NA,NA,NA
"Black-bellied Tern","Insufficient Data","Insufficient Data",NA,"High"
"Black-breasted Parrotbill",NA,NA,NA,NA
"Black-breasted Thrush",NA,NA,NA,NA
"Black-breasted Weaver","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-browed Reed Warbler",NA,NA,NA,NA
"Black-browed Tit",NA,NA,NA,NA
"Black-capped Kingfisher",NA,NA,NA,NA
"Black-chinned Babbler","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black-chinned Yuhina",NA,NA,NA,NA
"Black-crested Bulbul",NA,NA,NA,NA
"Black-crowned Night Heron","Insufficient Data","Insufficient Data",NA,"Low"
"Black-crowned Scimitar-Babbler",NA,NA,NA,NA
"Black-crowned Sparrow-Lark",NA,NA,NA,NA
"Black-eared Shrike-Babbler",NA,NA,NA,NA
"Black-faced Bunting",NA,NA,NA,NA
"Black-faced Laughingthrush",NA,NA,NA,NA
"Black-faced Warbler",NA,NA,NA,NA
"Black-headed Bulbul",NA,NA,NA,NA
"Black-headed Bunting",NA,NA,NA,NA
"Black-headed Cuckooshrike",NA,NA,NA,NA
"Black-headed Greenfinch",NA,NA,NA,NA
"Black-headed Gull","Insufficient Data","Insufficient Data",NA,"Low"
"Black-headed Ibis","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-headed Jay","Insufficient Data","Insufficient Data",NA,"Moderate"
"Black-headed Mountain Finch",NA,NA,NA,NA
"Black-headed Shrike-Babbler",NA,NA,NA,NA
"Black-hooded Oriole",NA,NA,NA,NA
"Black-legged Kittiwake",NA,NA,NA,NA
"Black-naped Monarch",NA,NA,NA,NA
"Black-naped Oriole",NA,NA,NA,NA
"Black-naped Tern",NA,NA,NA,NA
"Black-necked Crane",NA,NA,NA,NA
"Black-necked Stork",NA,NA,NA,NA
"Black-rumped Flameback","Insufficient Data","Trend Inconclusive",NA,"Low"
"Black-rumped Magpie",NA,NA,NA,NA
"Black-tailed Crake",NA,NA,NA,NA
"Black-tailed Godwit",NA,NA,NA,NA
"Black-throated Accentor",NA,NA,NA,NA
"Black-throated Munia",NA,NA,NA,NA
"Black-throated Parrotbill",NA,NA,NA,NA
"Black-throated Prinia",NA,NA,NA,NA
"Black-throated Sunbird",NA,NA,NA,NA
"Black-throated Thrush","Insufficient Data","Insufficient Data",NA,"Low"
"Black-throated Tit","Insufficient Data","Insufficient Data",NA,"Low"
"Black-winged Cuckooshrike",NA,NA,NA,NA
"Black-winged Kite","Insufficient Data","Insufficient Data",NA,"Low"
"Black-winged Snowfinch",NA,NA,NA,NA
"Black-winged Stilt","Insufficient Data","Insufficient Data",NA,"Low"
"Blanford's Rosefinch",NA,NA,NA,NA
"Blanford's Snowfinch",NA,NA,NA,NA
"Blood Pheasant",NA,NA,NA,NA
"Blossom-headed Parakeet",NA,NA,NA,NA
"Blue Pitta",NA,NA,NA,NA
"Blue Rock-Thrush","Insufficient Data","Insufficient Data",NA,"Low"
"Blue Whistling-Thrush","Insufficient Data","Insufficient Data",NA,"Low"
"Blue-and-white Flycatcher",NA,NA,NA,NA
"Blue-bearded Bee-eater",NA,NA,NA,NA
"Blue-billed White-Tern",NA,NA,NA,NA
"Blue-breasted Quail",NA,NA,NA,NA
"Blue-capped Redstart","Insufficient Data","Insufficient Data",NA,"Low"
"Blue-capped Rock-Thrush","Insufficient Data","Insufficient Data",NA,"Low"
"Blue-cheeked Bee-eater",NA,NA,NA,NA
"Blue-eared Barbet",NA,NA,NA,NA
"Blue-eared Kingfisher",NA,NA,NA,NA
"Blue-faced Malkoha",NA,NA,NA,NA
"Blue-fronted Redstart","Insufficient Data","Insufficient Data",NA,"Low"
"Blue-fronted Robin",NA,NA,NA,NA
"Blue-naped Pitta",NA,NA,NA,NA
"Blue-tailed Bee-eater","Insufficient Data","Insufficient Data",NA,"Low"
"Blue-throated Barbet","Insufficient Data","Insufficient Data",NA,"Low"
"Blue-throated Bee-eater",NA,NA,NA,NA
"Blue-throated Flycatcher","Insufficient Data","Insufficient Data",NA,"Low"
"Blue-winged Laughingthrush",NA,NA,NA,NA
"Blue-winged Leafbird",NA,NA,NA,NA
"Blue-winged Minla",NA,NA,NA,NA
"Blue-winged Pitta",NA,NA,NA,NA
"Bluethroat","Insufficient Data","Insufficient Data",NA,"Low"
"Blunt-winged Warbler",NA,NA,NA,NA
"Blyth's Kingfisher",NA,NA,NA,NA
"Blyth's Leaf Warbler",NA,NA,NA,NA
"Blyth's Paradise-Flycatcher",NA,NA,NA,NA
"Blyth's Pipit",NA,NA,NA,NA
"Blyth's Reed Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Blyth's Rosefinch","Insufficient Data","Insufficient Data",NA,"Moderate"
"Blyth's Swift",NA,NA,NA,NA
"Blyth's Tragopan",NA,NA,NA,NA
"Bohemian Waxwing",NA,NA,NA,NA
"Bonelli's Eagle","Insufficient Data","Insufficient Data",NA,"Low"
"Booted Eagle","Insufficient Data","Insufficient Data",NA,"Low"
"Booted Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Boreal Owl",NA,NA,NA,NA
"Brahminy Kite","Insufficient Data","Insufficient Data",NA,"Low"
"Brahminy Starling","Insufficient Data","Insufficient Data",NA,"Low"
"Brambling",NA,NA,NA,NA
"Bridled Tern",NA,NA,NA,NA
"Bristled Grassbird",NA,NA,NA,NA
"Broad-billed Sandpiper",NA,NA,NA,NA
"Broad-billed Warbler",NA,NA,NA,NA
"Broad-tailed Grassbird",NA,NA,NA,NA
"Bronze-winged Jacana",NA,NA,NA,NA
"Bronzed Drongo",NA,NA,NA,NA
"Brooks's Leaf Warbler",NA,NA,NA,NA
"Brown Accentor",NA,NA,NA,NA
"Brown Boobook",NA,NA,NA,NA
"Brown Booby",NA,NA,NA,NA
"Brown Bullfinch",NA,NA,NA,NA
"Brown Bush Warbler",NA,NA,NA,NA
"Brown Crake","Insufficient Data","Insufficient Data",NA,"Low"
"Brown Dipper","Insufficient Data","Insufficient Data",NA,"Low"
"Brown Fish-Owl","Insufficient Data","Insufficient Data",NA,"Low"
"Brown Hornbill",NA,NA,NA,NA
"Brown Noddy",NA,NA,NA,NA
"Brown Parrotbill",NA,NA,NA,NA
"Brown Rock Chat","Insufficient Data","Trend Inconclusive",NA,"Low"
"Brown Shrike",NA,NA,NA,NA
"Brown Skua",NA,NA,NA,NA
"Brown Wood-Owl",NA,NA,NA,NA
"Brown-backed Needletail",NA,NA,NA,NA
"Brown-breasted Flycatcher",NA,NA,NA,NA
"Brown-capped Laughingthrush",NA,NA,NA,NA
"Brown-capped Pygmy Woodpecker","Insufficient Data","Insufficient Data",NA,"Moderate"
"Brown-cheeked Fulvetta",NA,NA,NA,NA
"Brown-cheeked Rail",NA,NA,NA,NA
"Brown-crowned Scimitar-Babbler",NA,NA,NA,NA
"Brown-fronted Woodpecker","Insufficient Data","Insufficient Data",NA,"Moderate"
"Brown-headed Barbet","Insufficient Data","Trend Inconclusive",NA,"Low"
"Brown-headed Gull","Insufficient Data","Insufficient Data",NA,"Low"
"Brown-rumped Minivet",NA,NA,NA,NA
"Brown-throated Fulvetta",NA,NA,NA,NA
"Brown-winged Kingfisher",NA,NA,NA,NA
"Brownish-flanked Bush Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Buff-barred Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Buff-breasted Babbler",NA,NA,NA,NA
"Buff-breasted Sandpiper",NA,NA,NA,NA
"Buff-throated Warbler",NA,NA,NA,NA
"Buffy Fish-Owl",NA,NA,NA,NA
"Bugun Liocichla",NA,NA,NA,NA
"Burmese Shrike",NA,NA,NA,NA
"Cachar Bulbul",NA,NA,NA,NA
"Cachar Wedge-billed Babbler",NA,NA,NA,NA
"Carrion Crow",NA,NA,NA,NA
"Caspian Gull",NA,NA,NA,NA
"Caspian Plover",NA,NA,NA,NA
"Caspian Tern",NA,NA,NA,NA
"Cetti's Warbler",NA,NA,NA,NA
"Changeable Hawk-Eagle",NA,NA,NA,NA
"Cheer Pheasant","Insufficient Data","Insufficient Data",NA,"High"
"Chestnut Bunting",NA,NA,NA,NA
"Chestnut Munia",NA,NA,NA,NA
"Chestnut Thrush","Insufficient Data","Insufficient Data",NA,"Low"
"Chestnut-backed Laughingthrush",NA,NA,NA,NA
"Chestnut-bellied Nuthatch","Insufficient Data","Insufficient Data",NA,"Low"
"Chestnut-bellied Rock-Thrush","Insufficient Data","Insufficient Data",NA,"Low"
"Chestnut-bellied Sandgrouse","Insufficient Data","Insufficient Data",NA,"Low"
"Chestnut-breasted Partridge",NA,NA,NA,NA
"Chestnut-capped Babbler",NA,NA,NA,NA
"Chestnut-cheeked Starling",NA,NA,NA,NA
"Chestnut-crowned Bush Warbler",NA,NA,NA,NA
"Chestnut-crowned Laughingthrush","Insufficient Data","Insufficient Data",NA,"Moderate"
"Chestnut-crowned Warbler",NA,NA,NA,NA
"Chestnut-eared Bunting","Insufficient Data","Insufficient Data",NA,"Moderate"
"Chestnut-flanked White-eye",NA,NA,NA,NA
"Chestnut-headed Bee-eater",NA,NA,NA,NA
"Chestnut-headed Tesia",NA,NA,NA,NA
"Chestnut-tailed Minla","Insufficient Data","Insufficient Data",NA,"Low"
"Chestnut-tailed Starling","Insufficient Data","Insufficient Data",NA,"Low"
"Chestnut-vented Nuthatch",NA,NA,NA,NA
"Chestnut-winged Cuckoo",NA,NA,NA,NA
"Chin Hills Wren-Babbler",NA,NA,NA,NA
"Chinese Blackbird",NA,NA,NA,NA
"Chinese Bush Warbler",NA,NA,NA,NA
"Chinese Egret",NA,NA,NA,NA
"Chinese Francolin",NA,NA,NA,NA
"Chinese Leaf Warbler",NA,NA,NA,NA
"Chinese Pond-Heron",NA,NA,NA,NA
"Chinese Rubythroat",NA,NA,NA,NA
"Chinese Sparrowhawk",NA,NA,NA,NA
"Chinese Thrush",NA,NA,NA,NA
"Chinese Vivid Niltava",NA,NA,NA,NA
"Chinese White-browed Rosefinch",NA,NA,NA,NA
"Christmas Island Frigatebird",NA,NA,NA,NA
"Chukar","Insufficient Data","Insufficient Data",NA,"Low"
"Cinereous Vulture","Insufficient Data","Insufficient Data",NA,"Moderate"
"Cinnamon Bittern","Insufficient Data","Insufficient Data",NA,"Low"
"Citrine Wagtail","Insufficient Data","Insufficient Data",NA,"Low"
"Clamorous Reed Warbler","Insufficient Data","Insufficient Data",NA,"Low"
"Claudia's Leaf Warbler",NA,NA,NA,NA
"Clicking Shrike-Babbler",NA,NA,NA,NA
"Coal Tit","Insufficient Data","Insufficient Data",NA,"Low"
"Collared Falconet",NA,NA,NA,NA
"Collared Grosbeak","Insufficient Data","Insufficient Data",NA,"Moderate"
"Collared Kingfisher",NA,NA,NA,NA
"Collared Myna",NA,NA,NA,NA
"Collared Owlet","Insufficient Data","Insufficient Data",NA,"Low"
"Collared Pratincole",NA,NA,NA,NA
"Collared Scops-Owl",NA,NA,NA,NA
"Collared Treepie",NA,NA,NA,NA
"Common Babbler","Insufficient Data","Insufficient Data",NA,"Moderate"
"Common Buzzard","Insufficient Data","Insufficient Data",NA,"Low"
"Common Chaffinch",NA,NA,NA,NA
"Common Chiffchaff","Insufficient Data","Insufficient Data",NA,"Low"
"Common Crane",NA,NA,NA,NA
"Common Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Common Flameback",NA,NA,NA,NA
"Common Goldeneye",NA,NA,NA,NA
"Common Grasshopper Warbler",NA,NA,NA,NA
"Common Green-Magpie",NA,NA,NA,NA
"Common Greenshank","Insufficient Data","Insufficient Data",NA,"Low"
"Common Gull",NA,NA,NA,NA
"Common Hawk-Cuckoo","Insufficient Data","Insufficient Data",NA,"Moderate"
"Common Hill Myna",NA,NA,NA,NA
"Common Hoopoe","Insufficient Data","Insufficient Data",NA,"Low"
"Common Iora","Insufficient Data","Insufficient Data",NA,"Low"
"Common Kingfisher","Insufficient Data","Insufficient Data",NA,"Low"
"Common Merganser","Insufficient Data","Insufficient Data",NA,"Low"
"Common Myna","Insufficient Data","Insufficient Data",NA,"Low"
"Common Pochard","Insufficient Data","Insufficient Data",NA,"Moderate"
"Common Quail",NA,NA,NA,NA
"Common Raven","Insufficient Data","Insufficient Data",NA,"Low"
"Common Redshank","Insufficient Data","Insufficient Data",NA,"Low"
"Common Redstart",NA,NA,NA,NA
"Common Ringed Plover",NA,NA,NA,NA
"Common Rosefinch","Insufficient Data","Insufficient Data",NA,"Low"
"Common Sandpiper","Insufficient Data","Insufficient Data",NA,"Low"
"Common Shelduck",NA,NA,NA,NA
"Common Snipe","Insufficient Data","Insufficient Data",NA,"Low"
"Common Swift",NA,NA,NA,NA
"Common Tailorbird","Insufficient Data","Insufficient Data",NA,"Low"
"Common Tern",NA,NA,NA,NA
"Common Wood-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Common Woodshrike","Insufficient Data","Trend Inconclusive",NA,"Low"
"Coppersmith Barbet","Insufficient Data","Insufficient Data",NA,"Low"
"Corn Crake",NA,NA,NA,NA
"Cory's Shearwater",NA,NA,NA,NA
"Cotton Pygmy-Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Crab-Plover",NA,NA,NA,NA
"Cream-colored Courser",NA,NA,NA,NA
"Crested Bunting","Insufficient Data","Insufficient Data",NA,"Low"
"Crested Finchbill",NA,NA,NA,NA
"Crested Goshawk",NA,NA,NA,NA
"Crested Kingfisher","Insufficient Data","Insufficient Data",NA,"Low"
"Crested Lark","Insufficient Data","Insufficient Data",NA,"Low"
"Crested Serpent-Eagle","Insufficient Data","Insufficient Data",NA,"Low"
"Crested Tit-Warbler",NA,NA,NA,NA
"Crested Treeswift",NA,NA,NA,NA
"Crimson Sunbird","Insufficient Data","Insufficient Data",NA,"Low"
"Crimson-backed Sunbird",NA,NA,NA,NA
"Crimson-browed Finch",NA,NA,NA,NA
"Crimson-naped Woodpecker",NA,NA,NA,NA
"Crimson-winged Finch",NA,NA,NA,NA
"Crow-billed Drongo",NA,NA,NA,NA
"Curlew Sandpiper",NA,NA,NA,NA
"Dalmatian Pelican",NA,NA,NA,NA
"Darjeeling Woodpecker",NA,NA,NA,NA
"Dark-breasted Rosefinch","Insufficient Data","Insufficient Data",NA,"Low"
"Dark-fronted Babbler",NA,NA,NA,NA
"Dark-necked Tailorbird",NA,NA,NA,NA
"Dark-rumped Rosefinch",NA,NA,NA,NA
"Dark-rumped Swift",NA,NA,NA,NA
"Dark-sided Flycatcher","Insufficient Data","Insufficient Data",NA,"Low"
"Dark-sided Thrush",NA,NA,NA,NA
"Daurian Redstart",NA,NA,NA,NA
"Daurian Starling",NA,NA,NA,NA
"Delicate Prinia","Insufficient Data","Insufficient Data",NA,"Low"
"Demoiselle Crane",NA,NA,NA,NA
"Derbyan Parakeet",NA,NA,NA,NA
"Desert Finch",NA,NA,NA,NA
"Desert Lark",NA,NA,NA,NA
"Desert Wheatear","Insufficient Data","Insufficient Data",NA,"Low"
"Dollarbird",NA,NA,NA,NA
"Dunlin","Insufficient Data","Insufficient Data",NA,"Low"
"Dusky Crag-Martin",NA,NA,NA,NA
"Dusky Eagle-Owl",NA,NA,NA,NA
"Dusky Thrush",NA,NA,NA,NA
"Dusky Warbler",NA,NA,NA,NA
"Eared Grebe",NA,NA,NA,NA
"Eastern Barn Owl",NA,NA,NA,NA
"Eastern Cattle-Egret","Insufficient Data","Insufficient Data",NA,"Low"
"Eastern Marsh Harrier",NA,NA,NA,NA
"Eastern Orphean Warbler",NA,NA,NA,NA
"Eastern Red-rumped Swallow","Insufficient Data","Insufficient Data",NA,"Low"
"Eastern Spot-billed Duck",NA,NA,NA,NA
"Eastern Yellow Wagtail",NA,NA,NA,NA
"Egyptian Vulture","Insufficient Data","Insufficient Data",NA,"High"
"Elliot's Laughingthrush",NA,NA,NA,NA
"Eurasian Bittern",NA,NA,NA,NA
"Eurasian Blackcap",NA,NA,NA,NA
"Eurasian Collared-Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Eurasian Coot","Insufficient Data","Insufficient Data",NA,"Low"
"Eurasian Crag-Martin","Insufficient Data","Insufficient Data",NA,"Low"
