"Species","Range Coverage","Mean Grid Coverage","Long-term Decline","Current Annual Decline","Current Status","Conservation Priority","3GEN","3GEN Decline","Redlist Category Proposed","Current Redlist","IUCN Different","Redlist using Exp projections","Redlist projections different","Projected Decline"
"Indian Vulture",23.78,"47.99% (44.85, 51.12)","-195% (-193.9, -195.9)","-9.77% (-8.61, -10.94)","Rapid Decline","High",36,"96%","Critically Endangered","Critically Endangered","No",NA,NA,NA
"Eurasian Oystercatcher",28.46,"50.89% (43.65, 58.13)",NA,"-10.33% (-8.05, -12.62)","Rapid Decline","High",39,"96%","Critically Endangered","Near Threatened","Yes",NA,NA,NA
"Baillon's Crake",26.21,"64.33% (61.1, 67.56)",NA,"-8.48% (-6.77, -10.2)","Rapid Decline","Moderate",10,"50%","Vulnerable","Least Concern","Yes","Vulnerable","No",37
"Slender-billed Gull",34.41,"52.27% (47.79, 56.76)","-170.85% (-159.95, -178.66)","-8.31% (-6.56, -10.07)","Rapid Decline","High",28,"85%","Critically Endangered","Least Concern","Yes",NA,NA,NA
"Greater Flamingo",30.75,"43.24% (41.07, 45.42)","-174.29% (-168.14, -178.86)","-7.85% (-6.42, -9.29)","Rapid Decline","High",44,"95%","Critically Endangered","Least Concern","Yes",NA,NA,NA
"Common Kestrel",31.84,"43.4% (42.3, 44.5)","-171.97% (-166.72, -176.31)","-7.42% (-6.39, -8.44)","Rapid Decline","High",16,"65%","Endangered","Least Concern","Yes",NA,NA,NA
"Red-headed Vulture",25.35,"52.93% (49.58, 56.29)","-193.18% (-191.31, -194.66)","-7.97% (-6.39, -9.55)","Rapid Decline","High",35,"90%","Critically Endangered","Critically Endangered","No",NA,NA,NA
"Dalmatian Pelican",33.18,"41.47% (38.16, 44.78)",NA,"-8.05% (-6.38, -9.71)","Rapid Decline","Moderate",36,"91%","Critically Endangered","Near Threatened","Yes",NA,NA,NA
"Golden Eagle",28.12,"34.39% (30.99, 37.79)",NA,"-8% (-6.38, -9.63)","Rapid Decline","Moderate",49,"96%","Critically Endangered","Least Concern","Yes",NA,NA,NA
"Gull-billed Tern",35.08,"51.95% (49.59, 54.32)","-181.89% (-177.62, -185.2)","-7.56% (-6.26, -8.85)","Rapid Decline","High",27,"83%","Critically Endangered","Least Concern","Yes",NA,NA,NA
"Northern Pintail",33.43,"44.24% (42.95, 45.54)","-175.63% (-170.16, -180.36)","-7.18% (-5.81, -8.55)","Rapid Decline","High",17,"64%","Endangered","Least Concern","Yes",NA,NA,NA
"Northern Shoveler",34.69,"43.83% (42.46, 45.19)","-164.6% (-157.72, -170.45)","-6.92% (-5.72, -8.12)","Rapid Decline","High",14,"56%","Endangered","Least Concern","Yes","Endangered","No",58
"Terek Sandpiper",37.5,"50.17% (45.75, 54.58)","-182.51% (-175.36, -187.32)","-7.49% (-5.68, -9.31)","Rapid Decline","High",12,"50%","Vulnerable","Least Concern","Yes","Endangered","Yes",58
"Forest Wagtail",34.79,"68.02% (65.39, 70.65)","-175.61% (-167.72, -181.59)","-7.34% (-5.67, -9.01)","Rapid Decline","High",10,"44%","Vulnerable","Least Concern","Yes","Vulnerable","No",43
"Eurasian Spoonbill",34.62,"43.68% (42.2, 45.17)","-161.37% (-152.91, -168.06)","-6.87% (-5.61, -8.12)","Rapid Decline","High",29,"81%","Critically Endangered","Least Concern","Yes",NA,NA,NA
"Spotted Redshank",27.46,"46.9% (44.87, 48.93)","-164.45% (-152.15, -173.23)","-7.21% (-5.47, -8.95)","Rapid Decline","High",15,"57%","Endangered","Least Concern","Yes",NA,NA,NA
"Common Merganser",26.71,"47.18% (42.57, 51.79)","-172.74% (-160.76, -181.32)","-7.62% (-5.31, -9.94)","Rapid Decline","High",16,"58%","Endangered","Least Concern","Yes",NA,NA,NA
"Tawny Pipit",28.48,"48.55% (46.73, 50.36)","-166.1% (-157.94, -172.4)","-6.48% (-5.07, -7.9)","Rapid Decline","High",10,"41%","Vulnerable","Least Concern","Yes","Vulnerable","No",34
"Black-tailed Godwit",32.21,"45.13% (43.32, 46.94)","-171.03% (-165.12, -176.25)","-6.38% (-5.06, -7.7)","Rapid Decline","High",24,"71%","Endangered","Near Threatened","Yes",NA,NA,NA
"White-rumped Vulture",16.2,"51.28% (48.76, 53.81)","-197.87% (-197.47, -198.21)","-6.6% (-4.9, -8.3)","Decline","High",34,"82%","Critically Endangered","Critically Endangered","No",NA,NA,NA
"Ruddy Turnstone",35.76,"46.65% (41.84, 51.46)",NA,"-7.15% (-4.84, -9.45)","Rapid Decline","Moderate",18,"59%","Endangered","Least Concern","Yes",NA,NA,NA
"Bearded Vulture",32.76,"35.12% (32.24, 38.01)","-177.28% (-170.57, -182.21)","-6.58% (-4.8, -8.35)","Rapid Decline","High",43,"88%","Critically Endangered","Near Threatened","Yes",NA,NA,NA
"Pied Avocet",28.49,"42.72% (40.14, 45.29)","-183.94% (-179.69, -187.4)","-6.51% (-4.79, -8.23)","Decline","High",19,"61%","Endangered","Least Concern","Yes",NA,NA,NA
"Eurasian Curlew",32.31,"47.41% (44.78, 50.03)","-181.55% (-176.92, -185.25)","-6.34% (-4.79, -7.89)","Rapid Decline","High",28,"75%","Endangered","Near Threatened","Yes",NA,NA,NA
"Griffon Vulture",25.82,"51.39% (48.07, 54.7)","-182.96% (-178, -186.77)","-7% (-4.78, -9.22)","Decline","High",45,"89%","Critically Endangered","Least Concern","Yes",NA,NA,NA
"Sirkeer Malkoha",24.05,"53.04% (51.04, 55.05)","-177.87% (-171.45, -182.23)","-6.36% (-4.71, -8)","Rapid Decline","High",14,"49%","Vulnerable","Least Concern","Yes","Vulnerable","No",34
"Black-capped Kingfisher",24.34,"61.6% (56.82, 66.38)","-190.12% (-186.98, -192.57)","-6.81% (-4.7, -8.92)","Rapid Decline","High",12,"44%","Vulnerable","Vulnerable","No","Vulnerable","No",47
"Rosy Starling",35.44,"44.86% (43.57, 46.14)","-29.74% (10.94, -62.79)","-6% (-4.55, -7.45)","Rapid Decline","Moderate",10,"37%","Vulnerable","Least Concern","Yes","Least Concern","Yes",12
"Variable Wheatear",27.68,"37.52% (35, 40.03)","-171.61% (-163.52, -177.94)","-6.16% (-4.48, -7.83)","Decline","High",10,"37%","Vulnerable","Least Concern","Yes","Vulnerable","No",31
"Isabelline Shrike",28.63,"44.08% (41.84, 46.33)","-149.87% (-132.25, -162.5)","-6.38% (-4.47, -8.28)","Rapid Decline","High",10,"37%","Vulnerable","Least Concern","Yes","Vulnerable","No",38
"Tawny Eagle",22.7,"52.1% (49.14, 55.06)","-181.46% (-175.91, -185.56)","-6.32% (-4.42, -8.22)","Rapid Decline","High",41,"84%","Critically Endangered","Vulnerable","Yes",NA,NA,NA
"Whiskered Tern",37.88,"50.4% (48.69, 52.11)","-159.09% (-151.2, -165.64)","-5.53% (-4.3, -6.76)","Rapid Decline","High",17,"53%","Endangered","Least Concern","Yes",NA,NA,NA
"Great Grey Shrike",24.81,"40.46% (38.64, 42.28)","-184.36% (-180.87, -187.02)","-5.91% (-4.26, -7.57)","Decline","High",10,"35%","Vulnerable","Least Concern","Yes","Vulnerable","No",38
"Laggar Falcon",22.02,"45.88% (41.36, 50.41)",NA,"-6.47% (-4.25, -8.69)","Rapid Decline","Moderate",15,"48%","Vulnerable","Near Threatened","Yes",NA,NA,NA
"Garganey",35.58,"49% (47.53, 50.48)","-159.17% (-150.68, -166.14)","-5.57% (-4.17, -6.96)","Rapid Decline","High",10,"35%","Vulnerable","Least Concern","Yes","Near-threatened","Yes",26
"Rufous-necked Laughingthrush",29.13,"39.87% (35.72, 44.02)",NA,"-6.31% (-4.16, -8.45)","Rapid Decline","Moderate",10,"35%","Vulnerable","Least Concern","Yes","Vulnerable","No",35
