"COMMON.NAME","SCIENTIFIC.NAME"
"Alexandrine Parakeet","Psittacula eupatria"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
"Asian Desert Warbler","Curruca nana"
"Ashy Prinia","Prinia socialis"
"Asian Koel","Eudynamys scolopaceus"
"Asian Openbill","Anastomus oscitans"
"Indian Paradise-Flycatcher","Terpsiphone paradisi"
"Asian Palm-Swift","Cypsiurus balasiensis"
"Bay-backed Shrike","Lanius vittatus"
"Bar-headed Goose","Anser indicus"
"Baillon's Crake","Zapornia pusilla"
"Bank Myna","Acridotheres ginginianus"
"Bank Swallow","Riparia riparia"
"Barred Buttonquail","Turnix suscitator"
"Barn Swallow","Hirundo rustica"
"Baya Weaver","Ploceus philippinus"
"Black-breasted Weaver","Ploceus benghalensis"
"Bimaculated Lark","Melanocorypha bimaculata"
"Black-headed Gull","Chroicocephalus ridibundus"
"Black-rumped Flameback","Dinopium benghalense"
"Black-winged Kite","Elanus caeruleus"
"Black-tailed Godwit","Limosa limosa"
"Black-winged Stilt","Himantopus himantopus"
"Black Drongo","Dicrurus macrocercus"
"Black Kite","Milvus migrans"
"Black Redstart","Phoenicurus ochruros"
"Black Stork","Ciconia nigra"
"Black-headed Bunting","Emberiza melanocephala"
"Black-headed Ibis","Threskiornis melanocephalus"
"Black-necked Stork","Ephippiorhynchus asiaticus"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"Bluethroat","Luscinia svecica"
"Brown-headed Gull","Chroicocephalus brunnicephalus"
"Bonelli's Eagle","Aquila fasciata"
"Booted Eagle","Hieraaetus pennatus"
"Booted Warbler","Iduna caligata"
"Brahminy Starling","Sturnia pagodarum"
"Barn Owl","Tyto alba"
"Brown Crake","Zapornia akool"
"Bronze-winged Jacana","Metopidius indicus"
"Blue-tailed Bee-eater","Merops philippinus"
"Blue Rock-Thrush","Monticola solitarius"
"Caspian Tern","Hydroprogne caspia"
"Cattle Egret","Bubulcus ibis"
"Chestnut-bellied Sandgrouse","Pterocles exustus"
"Yellow-throated Sparrow","Gymnoris xanthocollis"
"Cinnamon Bittern","Ixobrychus cinnamomeus"
"Citrine Wagtail","Motacilla citreola"
"Clamorous Reed Warbler","Acrocephalus stentoreus"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Collared Pratincole","Glareola pratincola"
"Common Babbler","Argya caudata"
"Common Buzzard","Buteo buteo"
"Common Chiffchaff","Phylloscopus collybita"
"Common Crane","Grus grus"
"Knob-billed Duck","Sarkidiornis melanotos"
"Common Greenshank","Tringa nebularia"
"Common Iora","Aegithina tiphia"
"Common Kingfisher","Alcedo atthis"
"Eurasian Moorhen","Gallinula chloropus"
"Common Myna","Acridotheres tristis"
"Indian Peafowl","Pavo cristatus"
"Common Pochard","Aythya ferina"
"Common Quail","Coturnix coturnix"
"Common Redshank","Tringa totanus"
"Common Rosefinch","Carpodacus erythrinus"
"Common Sandpiper","Actitis hypoleucos"
"Common Shelduck","Tadorna tadorna"
"Common Snipe","Gallinago gallinago"
"Common Tailorbird","Orthotomus sutorius"
"Common Woodshrike","Tephrodornis pondicerianus"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Crested Lark","Galerida cristata"
"Dalmatian Pelican","Pelecanus crispus"
"Oriental Darter","Anhinga melanogaster"
"Demoiselle Crane","Anthropoides virgo"
"Desert Wheatear","Oenanthe deserti"
"Dunlin","Calidris alpina"
"Dusky Crag-Martin","Ptyonoprogne concolor"
"Eastern Orphean Warbler","Curruca crassirostris"
"Western Yellow Wagtail","Motacilla flava"
"Egyptian Vulture","Neophron percnopterus"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Eurasian Coot","Fulica atra"
"Eurasian Curlew","Numenius arquata"
"Eurasian Griffon","Gyps fulvus"
"Eurasian Kestrel","Falco tinnunculus"
"Eurasian Sparrowhawk","Accipiter nisus"
"Eurasian Spoonbill","Platalea leucorodia"
"European Starling","Sturnus vulgaris"
"Eurasian Wigeon","Mareca penelope"
"Eurasian Wryneck","Jynx torquilla"
"Ferruginous Duck","Aythya nyroca"
"Gadwall","Mareca strepera"
"Garganey","Spatula querquedula"
"Pallas's Gull","Ichthyaetus ichthyaetus"
"Glossy Ibis","Plegadis falcinellus"
"Green-winged Teal","Anas crecca"
"Graylag Goose","Anser anser"
"Gray Heron","Ardea cinerea"
"Green Bee-eater","Merops orientalis"
"Great Crested Grebe","Podiceps cristatus"
"Great Cormorant","Phalacrocorax carbo"
"Greater Coucal","Centropus sinensis"
"Great Egret","Ardea alba"
"Greater Flamingo","Phoenicopterus roseus"
"Greenish Warbler","Phylloscopus trochiloides"
"Green Sandpiper","Tringa ochropus"
"Greater Painted-Snipe","Rostratula benghalensis"
"Greater Spotted Eagle","Clanga clanga"
"Great Thick-knee","Esacus recurvirostris"
"Great White Pelican","Pelecanus onocrotalus"
"Gray Francolin","Ortygornis pondicerianus"
"Gray Wagtail","Motacilla cinerea"
"Greater Short-toed Lark","Calandrella brachydactyla"
"Gull-billed Tern","Gelochelidon nilotica"
"Gray-breasted Prinia","Prinia hodgsonii"
"Gray-necked Bunting","Emberiza buchanani"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis"
"Gray-throated Martin","Riparia chinensis"
"Eurasian Hoopoe","Upupa epops"
"House Crow","Corvus splendens"
"House Sparrow","Passer domesticus"
"Imperial Eagle","Aquila heliaca"
"Indian Bushlark","Mirafra erythroptera"
"Brown Rock Chat","Oenanthe fusca"
"Indian Cormorant","Phalacrocorax fuscicollis"
"Indian Courser","Cursorius coromandelicus"
"Indian Nightjar","Caprimulgus asiaticus"
"Indian Robin","Copsychus fulicatus"
"Indian Roller","Coracias benghalensis"
"Indian Silverbill","Euodice malabarica"
"Indian Thick-knee","Burhinus indicus"
"Indian White-eye","Zosterops palpebrosus"
"Indian Gray Hornbill","Ocyceros birostris"
"Indian Golden Oriole","Oriolus kundoo"
"Indian Pond-Heron","Ardeola grayii"
"Indian Spotted Eagle","Clanga hastata"
"Indian Scops-Owl","Otus bakkamoena"
"Intermediate Egret","Ardea intermedia"
"Isabelline Shrike","Lanius isabellinus"
"Isabelline Wheatear","Oenanthe isabellina"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Jungle Babbler","Argya striata"
"Kentish Plover","Charadrius alexandrinus"
"Large-billed Crow","Corvus macrorhynchos"
"Large Gray Babbler","Argya malcolmi"
"Laggar Falcon","Falco jugger"
"Lesser Black-backed Gull","Larus fuscus"
"Lesser Flamingo","Phoeniconaias minor"
"Lesser Sand-Plover","Charadrius mongolus"
"Lesser Whitethroat","Curruca curruca"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Little Ringed Plover","Charadrius dubius"
"Little Cormorant","Microcarbo niger"
"Little Egret","Egretta garzetta"
"Little Grebe","Tachybaptus ruficollis"
"Little Stint","Calidris minuta"
"Little Swift","Apus affinis"
"Little Tern","Sternula albifrons"
"Long-billed Pipit","Anthus similis"
"Long-legged Buzzard","Buteo rufinus"
"Long-tailed Shrike","Lanius schach"
"Macqueen's Bustard","Chlamydotis macqueenii"
"Oriental Magpie-Robin","Copsychus saularis"
"Mallard","Anas platyrhynchos"
"Marsh Sandpiper","Tringa stagnatilis"
"Merlin","Falco columbarius"
"Montagu's Harrier","Circus pygargus"
"Northern Pintail","Anas acuta"
"Northern Shoveler","Spatula clypeata"
"Great Gray Shrike","Lanius excubitor"
"Scaly-breasted Munia","Lonchura punctulata"
"Oriental Honey-buzzard","Pernis ptilorhynchus"
"Paddyfield Pipit","Anthus rufulus"
"Osprey","Pandion haliaetus"
"Paddyfield Warbler","Acrocephalus agricola"
"Pacific Golden-Plover","Pluvialis fulva"
"Painted Stork","Mycteria leucocephala"
"Pallid Harrier","Circus macrourus"
"Pallid Scops-Owl","Otus brucei"
"Peregrine Falcon","Falco peregrinus"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"Pied Avocet","Recurvirostra avosetta"
"Pied Bushchat","Saxicola caprata"
"Pied Kingfisher","Ceryle rudis"
"Plain Prinia","Prinia inornata"
"Plum-headed Parakeet","Psittacula cyanocephala"
"Purple Heron","Ardea purpurea"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Purple Sunbird","Cinnyris asiaticus"
"Gray-headed Swamphen","Porphyrio poliocephalus"
"Red-breasted Flycatcher","Ficedula parva"
"Red Collared-Dove","Streptopelia tranquebarica"
"Red-crested Pochard","Netta rufina"
"Red Avadavat","Amandava amandava"
"Red-headed Bunting","Emberiza bruniceps"
"Red-necked Falcon","Falco chicquera"
"Red-naped Ibis","Pseudibis papillosa"
"Red-rumped Swallow","Cecropis daurica"
"Red-vented Bulbul","Pycnonotus cafer"
"Red-wattled Lapwing","Vanellus indicus"
"River Tern","Sterna aurantia"
"Rose-ringed Parakeet","Psittacula krameri"
"Rosy Starling","Pastor roseus"
"Ruddy-breasted Crake","Zapornia fusca"
"Ruddy Shelduck","Tadorna ferruginea"
"Ruff","Calidris pugnax"
"Rufous-fronted Prinia","Prinia buchanani"
"Rufous Treepie","Dendrocitta vagabunda"
"Rufous-tailed Lark","Ammomanes phoenicura"
"Sarus Crane","Antigone antigone"
"Short-eared Owl","Asio flammeus"
"Shikra","Accipiter badius"
"Short-toed Snake-Eagle","Circaetus gallicus"
"Siberian Stonechat","Saxicola maurus"
"Slender-billed Gull","Chroicocephalus genei"
"Small Minivet","Pericrocotus cinnamomeus"
"Small Pratincole","Glareola lactea"
"Spotted Crake","Porzana porzana"
