"eBird.English.Name.2024","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Fulvous Whistling-Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Lesser Whistling-Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Bar-headed Goose",NA,NA,NA,NA
"Graylag Goose",NA,NA,NA,NA
"Greater White-fronted Goose",NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA
"Whooper Swan",NA,NA,NA,NA
"Knob-billed Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Ruddy Shelduck",NA,NA,NA,NA
"Common Shelduck",NA,NA,NA,NA
"Cotton Pygmy-Goose","Insufficient Data","Insufficient Data",NA,"Low"
"Mandarin Duck",NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA
"Garganey","Insufficient Data","Insufficient Data",NA,"Low"
"Northern Shoveler","Insufficient Data","Insufficient Data",NA,"Low"
"Gadwall","Insufficient Data","Insufficient Data",NA,"Low"
"Falcated Duck",NA,NA,NA,NA
"Eurasian Wigeon",NA,NA,NA,NA
"Indian Spot-billed Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Eastern Spot-billed Duck",NA,NA,NA,NA
"Mallard",NA,NA,NA,NA
"Northern Pintail","Insufficient Data","Insufficient Data",NA,"Low"
"Green-winged Teal",NA,NA,NA,NA
"Andaman Teal",NA,NA,NA,NA
"Marbled Duck",NA,NA,NA,NA
"Pink-headed Duck",NA,NA,NA,NA
"White-winged Duck",NA,NA,NA,NA
"Red-crested Pochard",NA,NA,NA,NA
"Common Pochard",NA,NA,NA,NA
"Ferruginous Duck","Insufficient Data","Insufficient Data",NA,"Moderate"
"Baer's Pochard","Insufficient Data","Insufficient Data",NA,"High"
"Tufted Duck","Insufficient Data","Insufficient Data",NA,"Low"
"Greater Scaup",NA,NA,NA,NA
"Long-tailed Duck",NA,NA,NA,NA
"Common Goldeneye",NA,NA,NA,NA
"Smew",NA,NA,NA,NA
"Common Merganser",NA,NA,NA,NA
"Red-breasted Merganser",NA,NA,NA,NA
"White-headed Duck",NA,NA,NA,NA
"Nicobar Megapode",NA,NA,NA,NA
"Hill Partridge",NA,NA,NA,NA
"Chestnut-breasted Partridge",NA,NA,NA,NA
"Rufous-throated Partridge",NA,NA,NA,NA
"White-cheeked Partridge","Insufficient Data","Insufficient Data",NA,"Moderate"
"Snow Partridge",NA,NA,NA,NA
"Blood Pheasant",NA,NA,NA,NA
"Western Tragopan",NA,NA,NA,NA
"Satyr Tragopan",NA,NA,NA,NA
"Blyth's Tragopan",NA,NA,NA,NA
"Temminck's Tragopan",NA,NA,NA,NA
"Himalayan Monal",NA,NA,NA,NA
"Sclater's Monal",NA,NA,NA,NA
"Koklass Pheasant",NA,NA,NA,NA
"Tibetan Partridge",NA,NA,NA,NA
"Mrs. Hume's Pheasant",NA,NA,NA,NA
"Cheer Pheasant",NA,NA,NA,NA
"Kalij Pheasant","Insufficient Data","Insufficient Data",NA,"Low"
"Indian Peafowl",NA,NA,NA,NA
"Green Peafowl",NA,NA,NA,NA
"Red Spurfowl",NA,NA,NA,NA
"Painted Spurfowl",NA,NA,NA,NA
"Gray Peacock-Pheasant",NA,NA,NA,NA
"Mountain Bamboo-Partridge",NA,NA,NA,NA
"Red Junglefowl","Insufficient Data","Insufficient Data",NA,"Low"
"Gray Junglefowl",NA,NA,NA,NA
"Gray Francolin",NA,NA,NA,NA
"Swamp Francolin",NA,NA,NA,NA
"Chinese Francolin",NA,NA,NA,NA
"Black Francolin",NA,NA,NA,NA
"Painted Francolin",NA,NA,NA,NA
"Tibetan Snowcock",NA,NA,NA,NA
"Himalayan Snowcock",NA,NA,NA,NA
"Blue-breasted Quail",NA,NA,NA,NA
"Common Quail",NA,NA,NA,NA
"Japanese Quail",NA,NA,NA,NA
"Rain Quail",NA,NA,NA,NA
"Chukar",NA,NA,NA,NA
"Jungle Bush-Quail",NA,NA,NA,NA
"Rock Bush-Quail",NA,NA,NA,NA
"Painted Bush-Quail",NA,NA,NA,NA
"Manipur Bush-Quail",NA,NA,NA,NA
"Himalayan Quail",NA,NA,NA,NA
"Greater Flamingo",NA,NA,NA,NA
"Lesser Flamingo",NA,NA,NA,NA
"Little Grebe","Insufficient Data","Insufficient Data",NA,"Low"
"Horned Grebe",NA,NA,NA,NA
"Red-necked Grebe",NA,NA,NA,NA
"Great Crested Grebe","Insufficient Data","Insufficient Data",NA,"Low"
"Eared Grebe",NA,NA,NA,NA
"Rock Pigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Hill Pigeon",NA,NA,NA,NA
"Snow Pigeon",NA,NA,NA,NA
"Yellow-eyed Pigeon",NA,NA,NA,NA
"Common Wood-Pigeon",NA,NA,NA,NA
"Speckled Wood-Pigeon",NA,NA,NA,NA
"Ashy Wood-Pigeon",NA,NA,NA,NA
"Nilgiri Wood-Pigeon",NA,NA,NA,NA
"Pale-capped Pigeon","Insufficient Data","Insufficient Data",NA,"High"
"Andaman Wood-Pigeon",NA,NA,NA,NA
"European Turtle-Dove",NA,NA,NA,NA
"Oriental Turtle-Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Eurasian Collared-Dove",NA,NA,NA,NA
"Red Collared-Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Spotted Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Laughing Dove",NA,NA,NA,NA
"Barred Cuckoo-Dove",NA,NA,NA,NA
"Andaman Cuckoo-Dove",NA,NA,NA,NA
"Namaqua Dove",NA,NA,NA,NA
"Asian Emerald Dove","Insufficient Data","Insufficient Data",NA,"Low"
"Nicobar Pigeon",NA,NA,NA,NA
"Orange-breasted Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Gray-fronted Green-Pigeon",NA,NA,NA,NA
"Andaman Green-Pigeon",NA,NA,NA,NA
"Ashy-headed Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Thick-billed Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Yellow-footed Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Pin-tailed Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Wedge-tailed Green-Pigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Green Imperial-Pigeon","Insufficient Data","Insufficient Data",NA,"Moderate"
"Nicobar Imperial-Pigeon",NA,NA,NA,NA
"Malabar Imperial-Pigeon",NA,NA,NA,NA
"Mountain Imperial-Pigeon","Insufficient Data","Insufficient Data",NA,"Low"
"Pied Imperial-Pigeon",NA,NA,NA,NA
"Tibetan Sandgrouse",NA,NA,NA,NA
"Pallas's Sandgrouse",NA,NA,NA,NA
"Pin-tailed Sandgrouse",NA,NA,NA,NA
"Chestnut-bellied Sandgrouse",NA,NA,NA,NA
"Spotted Sandgrouse",NA,NA,NA,NA
"Black-bellied Sandgrouse",NA,NA,NA,NA
"Painted Sandgrouse",NA,NA,NA,NA
"Great Indian Bustard",NA,NA,NA,NA
"Asian Houbara",NA,NA,NA,NA
"Bengal Florican",NA,NA,NA,NA
"Lesser Florican",NA,NA,NA,NA
"Little Bustard",NA,NA,NA,NA
"Andaman Coucal",NA,NA,NA,NA
"Greater Coucal","Insufficient Data","Insufficient Data",NA,"Low"
"Lesser Coucal","Insufficient Data","Insufficient Data",NA,"Low"
"Sirkeer Malkoha",NA,NA,NA,NA
"Blue-faced Malkoha",NA,NA,NA,NA
"Green-billed Malkoha","Insufficient Data","Insufficient Data",NA,"Low"
"Chestnut-winged Cuckoo","Insufficient Data","Insufficient Data",NA,"Moderate"
"Pied Cuckoo",NA,NA,NA,NA
"Asian Koel","Insufficient Data","Insufficient Data",NA,"Low"
"Asian Emerald Cuckoo",NA,NA,NA,NA
"Violet Cuckoo",NA,NA,NA,NA
"Horsfield's Bronze-Cuckoo",NA,NA,NA,NA
"Banded Bay Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Plaintive Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Gray-bellied Cuckoo",NA,NA,NA,NA
"Fork-tailed Drongo-Cuckoo",NA,NA,NA,NA
"Square-tailed Drongo-Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Large Hawk-Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Common Hawk-Cuckoo","Insufficient Data","Insufficient Data",NA,"Moderate"
"Hodgson's Hawk-Cuckoo",NA,NA,NA,NA
"Lesser Cuckoo",NA,NA,NA,NA
"Indian Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Himalayan Cuckoo",NA,NA,NA,NA
"Common Cuckoo","Insufficient Data","Insufficient Data",NA,"Low"
"Sri Lanka Frogmouth",NA,NA,NA,NA
"Hodgson's Frogmouth",NA,NA,NA,NA
"Great Eared-Nightjar",NA,NA,NA,NA
"Jungle Nightjar",NA,NA,NA,NA
"Gray Nightjar",NA,NA,NA,NA
"Eurasian Nightjar",NA,NA,NA,NA
"Sykes's Nightjar",NA,NA,NA,NA
"Large-tailed Nightjar",NA,NA,NA,NA
"Andaman Nightjar",NA,NA,NA,NA
"Jerdon's Nightjar",NA,NA,NA,NA
"Indian Nightjar",NA,NA,NA,NA
"Savanna Nightjar",NA,NA,NA,NA
"White-rumped Spinetail",NA,NA,NA,NA
"White-throated Needletail",NA,NA,NA,NA
"Silver-backed Needletail",NA,NA,NA,NA
"Brown-backed Needletail",NA,NA,NA,NA
"Plume-toed Swiftlet",NA,NA,NA,NA
"Indian Swiftlet",NA,NA,NA,NA
"Himalayan Swiftlet","Insufficient Data","Insufficient Data",NA,"Low"
"White-nest Swiftlet",NA,NA,NA,NA
"Alpine Swift","Insufficient Data","Insufficient Data",NA,"Low"
"Common Swift",NA,NA,NA,NA
"Pacific Swift",NA,NA,NA,NA
"Blyth's Swift",NA,NA,NA,NA
"Dark-rumped Swift",NA,NA,NA,NA
"Little Swift","Insufficient Data","Insufficient Data",NA,"Low"
"House Swift",NA,NA,NA,NA
"Asian Palm Swift","Insufficient Data","Insufficient Data",NA,"Low"
"Crested Treeswift","Insufficient Data","Insufficient Data",NA,"Low"
"Water Rail",NA,NA,NA,NA
"Brown-cheeked Rail",NA,NA,NA,NA
"Corn Crake",NA,NA,NA,NA
"Slaty-breasted Rail","Insufficient Data","Insufficient Data",NA,"Low"
"Spotted Crake",NA,NA,NA,NA
"Eurasian Moorhen","Insufficient Data","Insufficient Data",NA,"Low"
"Eurasian Coot","Insufficient Data","Insufficient Data",NA,"Low"
"Gray-headed Swamphen","Insufficient Data","Insufficient Data",NA,"Low"
"White-browed Crake",NA,NA,NA,NA
"Watercock",NA,NA,NA,NA
"White-breasted Waterhen","Insufficient Data","Insufficient Data",NA,"Low"
"Andaman Crake",NA,NA,NA,NA
"Red-legged Crake",NA,NA,NA,NA
"Slaty-legged Crake",NA,NA,NA,NA
"Ruddy-breasted Crake","Insufficient Data","Insufficient Data",NA,"Low"
"Brown Crake",NA,NA,NA,NA
"Little Crake",NA,NA,NA,NA
"Baillon's Crake",NA,NA,NA,NA
"Black-tailed Crake",NA,NA,NA,NA
"Masked Finfoot",NA,NA,NA,NA
"Demoiselle Crane",NA,NA,NA,NA
"Siberian Crane",NA,NA,NA,NA
"Sarus Crane",NA,NA,NA,NA
"Common Crane",NA,NA,NA,NA
"Black-necked Crane",NA,NA,NA,NA
